selectivity,A,B,recall_A,recall_B,recall_delta_A_minus_B,dist_A,dist_B,distance_ratio_A_over_B,edge_ratio_A_over_B,mat_ratio_A_over_B
0.002,witness_c1,active_c1,0.9666666666666668,0.9533333333333334,0.01333333333333342,1420.0333333333333,739.0666666666667,1.921387335377954,1.3448381262895133,1.1731453427105611
0.003,witness_c1,active_c1,0.9466666666666668,0.9366666666666668,0.010000000000000009,1406.2666666666669,785.9333333333333,1.7892951056069222,1.3365357365527404,1.5833233041927
0.005,witness_c1,active_c1,0.9333333333333332,0.92,0.013333333333333197,1806.2666666666669,1041.6,1.7341269841269844,1.308413689622454,1.5357226823926307
0.007,witness_c1,active_c1,0.9266666666666666,0.9133333333333332,0.01333333333333342,2045.9666666666667,1081.4,1.8919610381604093,1.358974358974359,1.3410753760276106
0.01,witness_c1,active_c1,0.9133333333333332,0.89,0.023333333333333206,2355.6666666666665,1257.8333333333333,1.8727971379356037,1.3299751728666105,1.3086829491292662
0.02,witness_c1,active_c1,0.7966666666666666,0.7799999999999999,0.01666666666666672,3039.9333333333334,1452.8666666666666,2.0923691093470382,1.3287644898979218,1.1779171325126878
0.003,active_c1,native_active_c1,0.9366666666666668,0.9733333333333332,-0.0366666666666664,785.9333333333333,890.8333333333334,0.8822450888681009,0.7801114255394412,1.4846267972424447
0.005,active_c1,native_active_c1,0.92,0.9766666666666668,-0.056666666666666754,1041.6,1168.3,0.8915518274415818,0.8470207834928231,1.6423532704890118
0.007,active_c1,native_active_c1,0.9133333333333332,0.8033333333333333,0.10999999999999988,1081.4,878.9,1.230401638411651,1.3114809782608696,0.8229866557613029
0.01,active_c1,native_active_c1,0.89,0.8333333333333334,0.05666666666666664,1257.8333333333333,1034.1666666666667,1.2162771958098306,1.2687301504659758,0.760409939700574
