selectivity,level_name,cell_size_B,occupancy_tau_sB,active_probability_approx,path_hops,path_delta,log_H_over_delta,copies_bound_active_exit,configured_max_copies,degree_target
0.001,L3,509.1649694501018,0.5091649694501018,0.3990027796204787,20,0.01,7.600902459542082,2,8,8
0.002,L3,509.1649694501018,1.0183299389002036,0.638802341096089,20,0.01,7.600902459542082,1,8,8
0.003,V04,250.0,0.75,0.5276334472589853,20,0.01,7.600902459542082,2,8,8
0.005,V04,250.0,1.25,0.7134952031398099,20,0.01,7.600902459542082,1,8,8
0.007,V08,125.0,0.875,0.5831379803214916,20,0.01,7.600902459542082,2,8,8
0.01,V08,125.0,1.25,0.7134952031398099,20,0.01,7.600902459542082,1,8,8
0.02,L2,63.885517153261354,1.277710343065227,0.7213253601478495,20,0.01,7.600902459542082,1,8,8
