method,selectivity,mask_seed,query,parameter,level_name,recall,distance_computations,portal_computations,payload_computations,adjacency_reads,visited_cells,summary_checks_query,child_reads_query,latency_ms,valid_count,materialization_ms,materialization_summary_checks,copies_used_mean,active_degree_mean,postfilter_candidate_pool_lower_bound
router1hop,0.003,0,6,32,V04,0.2,587.0,536.0,51,689.0,536.0,0,0,1.5115789999811113,2894,30.077770000019655,63322,1.0,17.01297968397291,
lazy_qcap,0.003,0,6,32,V04,0.1,2837.0,2771.0,66,5479.0,267.0,5479,0,3.246281999963685,2894,8.598333999998431,30147,1.0,8.128668171557562,
native_active_c1,0.003,0,6,32,L3,0.6,412.0,298.0,114,452.0,298.0,0,0,1.454462999987527,2894,5.613775000000487,20019,1.0,10.617792421746293,
witness_c1,0.003,0,6,32,V04,0.3,609.0,544.0,65,484.0,234.0,251,251,2.5073629999781133,2894,13.597575999995115,49026,1.0,8.128668171557562,
active_c1,0.003,0,6,64,V04,0.5,513.0,398.0,115,617.0,398.0,0,0,2.20026200000234,2894,8.598333999998431,30147,1.0,8.128668171557562,
active_c2,0.003,0,6,64,V04,0.6,698.0,577.0,121,1156.0,577.0,0,0,2.2591009999928247,2894,8.640858000006801,58878,2.0,15.878103837471784,
active_c4,0.003,0,6,64,V04,0.6,837.0,716.0,121,2266.0,716.0,0,0,2.291670000005297,2894,9.702291000024843,112882,4.0,30.718961625282166,
active_c8,0.003,0,6,64,V04,0.6,914.0,792.0,122,4304.0,792.0,0,0,2.2379090000299584,2894,11.340669999981401,206739,8.0,56.41647855530474,
adaptive_deg,0.003,0,6,64,V04,0.5,558.0,439.0,119,711.0,439.0,0,0,2.2140130000138925,2894,25.743295000012267,43096,1.4650112866817155,11.431715575620768,
router1hop,0.003,0,6,64,V04,0.4,840.0,753.0,87,1070.0,753.0,0,0,2.3380879999876925,2894,30.077770000019655,63322,1.0,17.01297968397291,
lazy_qcap,0.003,0,6,64,V04,0.5,3982.0,3862.0,120,7660.0,401.0,7660,0,5.01498599999195,2894,8.598333999998431,30147,1.0,8.128668171557562,
native_active_c1,0.003,0,6,64,L3,0.8,605.0,412.0,193,786.0,412.0,0,0,2.317678999986583,2894,5.613775000000487,20019,1.0,10.617792421746293,
witness_c1,0.003,0,6,64,V04,0.6,916.0,801.0,115,852.0,406.0,412,412,4.284098999988828,2894,13.597575999995115,49026,1.0,8.128668171557562,
active_c1,0.003,0,6,128,V04,0.9,798.0,581.0,217,1170.0,581.0,0,0,4.142767000018921,2894,8.598333999998431,30147,1.0,8.128668171557562,
active_c2,0.003,0,6,128,V04,0.8,941.0,718.0,223,2273.0,718.0,0,0,3.9767979999965064,2894,8.640858000006801,58878,2.0,15.878103837471784,
active_c4,0.003,0,6,128,V04,0.8,1025.0,801.0,224,4390.0,801.0,0,0,3.547393000019383,2894,9.702291000024843,112882,4.0,30.718961625282166,
active_c8,0.003,0,6,128,V04,0.8,1062.0,838.0,224,8341.0,838.0,0,0,3.254695000009633,2894,11.340669999981401,206739,8.0,56.41647855530474,
adaptive_deg,0.003,0,6,128,V04,0.8,864.0,643.0,221,1484.0,643.0,0,0,4.132722000008471,2894,25.743295000012267,43096,1.4650112866817155,11.431715575620768,
router1hop,0.003,0,6,128,V04,0.5,1342.0,1176.0,166,2152.0,1176.0,0,0,4.309337000023561,2894,30.077770000019655,63322,1.0,17.01297968397291,
lazy_qcap,0.003,0,6,128,V04,0.9,10276.0,10059.0,217,20877.0,581.0,20877,0,11.367250999995804,2894,8.598333999998431,30147,1.0,8.128668171557562,
native_active_c1,0.003,0,6,128,L3,1.0,888.0,533.0,355,1510.0,533.0,0,0,3.974515000010115,2894,5.613775000000487,20019,1.0,10.617792421746293,
witness_c1,0.003,0,6,128,V04,0.9,1457.0,1236.0,221,1598.0,580.0,834,834,8.458623999985093,2894,13.597575999995115,49026,1.0,8.128668171557562,
active_c1,0.003,0,6,256,V04,1.0,1195.0,758.0,437,2285.0,758.0,0,0,7.1976929999948425,2894,8.598333999998431,30147,1.0,8.128668171557562,
active_c2,0.003,0,6,256,V04,1.0,1256.0,819.0,437,4513.0,819.0,0,0,6.260916000002226,2894,8.640858000006801,58878,2.0,15.878103837471784,
active_c4,0.003,0,6,256,V04,1.0,1290.0,853.0,437,8772.0,853.0,0,0,5.212433000025385,2894,9.702291000024843,112882,4.0,30.718961625282166,
active_c8,0.003,0,6,256,V04,1.0,1307.0,870.0,437,16436.0,870.0,0,0,4.764870999991899,2894,11.340669999981401,206739,8.0,56.41647855530474,
adaptive_deg,0.003,0,6,256,V04,1.0,1216.0,779.0,437,2952.0,779.0,0,0,7.047407000015937,2894,25.743295000012267,43096,1.4650112866817155,11.431715575620768,
router1hop,0.003,0,6,256,V04,0.9,1797.0,1538.0,259,3919.0,1538.0,0,0,7.876871999997093,2894,30.077770000019655,63322,1.0,17.01297968397291,
lazy_qcap,0.003,0,6,256,V04,1.0,21930.0,21493.0,437,44719.0,758.0,44719,0,22.027699000034318,2894,8.598333999998431,30147,1.0,8.128668171557562,
native_active_c1,0.003,0,6,256,L3,1.0,1274.0,592.0,682,2943.0,592.0,0,0,5.832433000023229,2894,5.613775000000487,20019,1.0,10.617792421746293,
witness_c1,0.003,0,6,256,V04,1.0,1851.0,1414.0,437,2716.0,758.0,834,834,11.042672999963088,2894,13.597575999995115,49026,1.0,8.128668171557562,
prefilter_exact,0.003,0,9,0,V04,1.0,2894.0,0.0,2894,0.0,0.0,0,0,0.3757940000070903,2894,0.0,0,0.0,0.0,0.0
postfilter_hnsw,0.003,0,9,500,V04,0.2,,,2,,,0,0,30.73137680000002,2894,0.0,0,0.0,0.0,500.0
postfilter_hnsw,0.003,0,9,1000,V04,0.2,,,2,,,0,0,30.73137680000002,2894,0.0,0,0.0,0.0,1000.0
postfilter_hnsw,0.003,0,9,2000,V04,0.4,,,4,,,0,0,30.73137680000002,2894,0.0,0,0.0,0.0,2000.0
postfilter_hnsw,0.003,0,9,4000,V04,1.0,,,10,,,0,0,30.73137680000002,2894,0.0,0,0.0,0.0,4000.0
postfilter_hnsw,0.003,0,9,8000,V04,1.0,,,10,,,0,0,30.73137680000002,2894,0.0,0,0.0,0.0,8000.0
postfilter_hnsw,0.003,0,9,16000,V04,1.0,,,10,,,0,0,30.73137680000002,2894,0.0,0,0.0,0.0,16000.0
active_c1,0.003,0,9,32,V04,0.5,305.0,232.0,73,315.0,232.0,0,0,1.2239669999871694,2894,8.598333999998431,30147,1.0,8.128668171557562,
active_c2,0.003,0,9,32,V04,0.6,479.0,406.0,73,633.0,406.0,0,0,1.2381280000113293,2894,8.640858000006801,58878,2.0,15.878103837471784,
active_c4,0.003,0,9,32,V04,0.7,626.0,558.0,68,1195.0,558.0,0,0,1.267882000007603,2894,9.702291000024843,112882,4.0,30.718961625282166,
active_c8,0.003,0,9,32,V04,0.7,754.0,686.0,68,2221.0,686.0,0,0,1.2874519999854783,2894,11.340669999981401,206739,8.0,56.41647855530474,
adaptive_deg,0.003,0,9,32,V04,0.5,355.0,286.0,69,387.0,286.0,0,0,1.1389899999869613,2894,25.743295000012267,43096,1.4650112866817155,11.431715575620768,
router1hop,0.003,0,9,32,V04,0.5,464.0,413.0,51,508.0,413.0,0,0,1.2156040000093071,2894,30.077770000019655,63322,1.0,17.01297968397291,
lazy_qcap,0.003,0,9,32,V04,0.5,2398.0,2325.0,73,4313.0,232.0,4313,0,2.9414540000232137,2894,8.598333999998431,30147,1.0,8.128668171557562,
native_active_c1,0.003,0,9,32,L3,0.6,370.0,262.0,108,390.0,262.0,0,0,1.277387000016006,2894,5.613775000000487,20019,1.0,10.617792421746293,
witness_c1,0.003,0,9,32,V04,0.5,512.0,439.0,73,420.0,247.0,189,189,2.2434859999975743,2894,13.597575999995115,49026,1.0,8.128668171557562,
active_c1,0.003,0,9,64,V04,0.7,502.0,372.0,130,603.0,372.0,0,0,2.160973000030708,2894,8.598333999998431,30147,1.0,8.128668171557562,
active_c2,0.003,0,9,64,V04,0.8,688.0,559.0,129,1202.0,559.0,0,0,2.2920090000013715,2894,8.640858000006801,58878,2.0,15.878103837471784,
active_c4,0.003,0,9,64,V04,0.8,812.0,683.0,129,2362.0,683.0,0,0,2.223196999977972,2894,9.702291000024843,112882,4.0,30.718961625282166,
active_c8,0.003,0,9,64,V04,0.8,882.0,753.0,129,4346.0,753.0,0,0,2.0572769999773755,2894,11.340669999981401,206739,8.0,56.41647855530474,
adaptive_deg,0.003,0,9,64,V04,0.8,568.0,432.0,136,765.0,432.0,0,0,2.233433000014884,2894,25.743295000012267,43096,1.4650112866817155,11.431715575620768,
router1hop,0.003,0,9,64,V04,0.6,815.0,723.0,92,1043.0,723.0,0,0,2.391107999983433,2894,30.077770000019655,63322,1.0,17.01297968397291,
lazy_qcap,0.003,0,9,64,V04,0.7,4824.0,4694.0,130,8891.0,372.0,8891,0,5.6044009999993705,2894,8.598333999998431,30147,1.0,8.128668171557562,
native_active_c1,0.003,0,9,64,L3,0.9,593.0,408.0,185,768.0,408.0,0,0,2.293000999969763,2894,5.613775000000487,20019,1.0,10.617792421746293,
witness_c1,0.003,0,9,64,V04,0.9,986.0,852.0,134,928.0,385.0,468,468,4.5399230000384705,2894,13.597575999995115,49026,1.0,8.128668171557562,
active_c1,0.003,0,9,128,V04,1.0,779.0,542.0,237,1181.0,542.0,0,0,3.984208000019862,2894,8.598333999998431,30147,1.0,8.128668171557562,
active_c2,0.003,0,9,128,V04,1.0,937.0,701.0,236,2365.0,701.0,0,0,3.887363999979243,2894,8.640858000006801,58878,2.0,15.878103837471784,
active_c4,0.003,0,9,128,V04,1.0,1014.0,779.0,235,4605.0,779.0,0,0,3.756366999994043,2894,9.702291000024843,112882,4.0,30.718961625282166,
active_c8,0.003,0,9,128,V04,1.0,1060.0,825.0,235,8544.0,825.0,0,0,3.2405439999649843,2894,11.340669999981401,206739,8.0,56.41647855530474,
adaptive_deg,0.003,0,9,128,V04,1.0,839.0,601.0,238,1463.0,601.0,0,0,4.0373500000043805,2894,25.743295000012267,43096,1.4650112866817155,11.431715575620768,
router1hop,0.003,0,9,128,V04,0.9,1208.0,1042.0,166,1942.0,1042.0,0,0,4.301595000015368,2894,30.077770000019655,63322,1.0,17.01297968397291,
lazy_qcap,0.003,0,9,128,V04,1.0,9568.0,9331.0,237,18020.0,542.0,18020,0,10.840349000005745,2894,8.598333999998431,30147,1.0,8.128668171557562,
native_active_c1,0.003,0,9,128,L3,1.0,902.0,524.0,378,1479.0,524.0,0,0,3.931020000038643,2894,5.613775000000487,20019,1.0,10.617792421746293,
witness_c1,0.003,0,9,128,V04,1.0,1414.0,1176.0,238,1578.0,547.0,833,833,7.962388999999348,2894,13.597575999995115,49026,1.0,8.128668171557562,
active_c1,0.003,0,9,256,V04,1.0,1171.0,715.0,456,2318.0,715.0,0,0,7.124062000002596,2894,8.598333999998431,30147,1.0,8.128668171557562,
active_c2,0.003,0,9,256,V04,1.0,1275.0,816.0,459,4583.0,816.0,0,0,6.338913999996976,2894,8.640858000006801,58878,2.0,15.878103837471784,
active_c4,0.003,0,9,256,V04,1.0,1312.0,853.0,459,8994.0,853.0,0,0,5.612272999968582,2894,9.702291000024843,112882,4.0,30.718961625282166,
active_c8,0.003,0,9,256,V04,1.0,1344.0,885.0,459,16590.0,885.0,0,0,4.9052720000020145,2894,11.340669999981401,206739,8.0,56.41647855530474,
adaptive_deg,0.003,0,9,256,V04,1.0,1217.0,758.0,459,2950.0,758.0,0,0,7.002469999974892,2894,25.743295000012267,43096,1.4650112866817155,11.431715575620768,
router1hop,0.003,0,9,256,V04,1.0,1641.0,1367.0,274,3643.0,1367.0,0,0,7.625654999969811,2894,30.077770000019655,63322,1.0,17.01297968397291,
lazy_qcap,0.003,0,9,256,V04,1.0,18850.0,18394.0,456,36296.0,715.0,36296,0,20.770481999988988,2894,8.598333999998431,30147,1.0,8.128668171557562,
native_active_c1,0.003,0,9,256,L3,1.0,1277.0,594.0,683,2910.0,594.0,0,0,6.022840000014185,2894,5.613775000000487,20019,1.0,10.617792421746293,
witness_c1,0.003,0,9,256,V04,1.0,1800.0,1344.0,456,2729.0,715.0,833,833,11.040007999980617,2894,13.597575999995115,49026,1.0,8.128668171557562,
prefilter_exact,0.003,0,12,0,V04,1.0,2894.0,0.0,2894,0.0,0.0,0,0,0.3732700000114164,2894,0.0,0,0.0,0.0,0.0
postfilter_hnsw,0.003,0,12,500,V04,0.2,,,2,,,0,0,30.73137680000002,2894,0.0,0,0.0,0.0,500.0
postfilter_hnsw,0.003,0,12,1000,V04,0.2,,,2,,,0,0,30.73137680000002,2894,0.0,0,0.0,0.0,1000.0
postfilter_hnsw,0.003,0,12,2000,V04,0.4,,,4,,,0,0,30.73137680000002,2894,0.0,0,0.0,0.0,2000.0
postfilter_hnsw,0.003,0,12,4000,V04,1.0,,,10,,,0,0,30.73137680000002,2894,0.0,0,0.0,0.0,4000.0
postfilter_hnsw,0.003,0,12,8000,V04,1.0,,,10,,,0,0,30.73137680000002,2894,0.0,0,0.0,0.0,8000.0
postfilter_hnsw,0.003,0,12,16000,V04,1.0,,,10,,,0,0,30.73137680000002,2894,0.0,0,0.0,0.0,16000.0
active_c1,0.003,0,12,32,V04,0.7,315.0,242.0,73,321.0,242.0,0,0,1.2424150000072132,2894,8.598333999998431,30147,1.0,8.128668171557562,
active_c2,0.003,0,12,32,V04,0.7,444.0,372.0,72,582.0,372.0,0,0,1.2196100000210208,2894,8.640858000006801,58878,2.0,15.878103837471784,
active_c4,0.003,0,12,32,V04,0.7,606.0,535.0,71,1131.0,535.0,0,0,1.271016999993435,2894,9.702291000024843,112882,4.0,30.718961625282166,
active_c8,0.003,0,12,32,V04,0.7,718.0,647.0,71,2113.0,647.0,0,0,1.3269709999974566,2894,11.340669999981401,206739,8.0,56.41647855530474,
adaptive_deg,0.003,0,12,32,V04,0.7,343.0,270.0,73,370.0,270.0,0,0,1.1564950000035878,2894,25.743295000012267,43096,1.4650112866817155,11.431715575620768,
router1hop,0.003,0,12,32,V04,0.5,482.0,429.0,53,568.0,429.0,0,0,1.2839469999903486,2894,30.077770000019655,63322,1.0,17.01297968397291,
lazy_qcap,0.003,0,12,32,V04,0.7,2060.0,1987.0,73,3687.0,242.0,3687,0,2.8431970000042384,2894,8.598333999998431,30147,1.0,8.128668171557562,
native_active_c1,0.003,0,12,32,L3,0.7,407.0,297.0,110,432.0,297.0,0,0,1.2895049999883668,2894,5.613775000000487,20019,1.0,10.617792421746293,
witness_c1,0.003,0,12,32,V04,0.8,543.0,470.0,73,431.0,249.0,240,240,2.317728000008401,2894,13.597575999995115,49026,1.0,8.128668171557562,
active_c1,0.003,0,12,64,V04,1.0,529.0,398.0,131,609.0,398.0,0,0,2.1783180000056745,2894,8.598333999998431,30147,1.0,8.128668171557562,
active_c2,0.003,0,12,64,V04,1.0,686.0,553.0,133,1213.0,553.0,0,0,2.2301770000012766,2894,8.640858000006801,58878,2.0,15.878103837471784,
active_c4,0.003,0,12,64,V04,1.0,811.0,678.0,133,2275.0,678.0,0,0,2.18135400001529,2894,9.702291000024843,112882,4.0,30.718961625282166,
active_c8,0.003,0,12,64,V04,1.0,888.0,753.0,135,4195.0,753.0,0,0,2.212129999975332,2894,11.340669999981401,206739,8.0,56.41647855530474,
adaptive_deg,0.003,0,12,64,V04,1.0,573.0,442.0,131,738.0,442.0,0,0,2.1640780000211635,2894,25.743295000012267,43096,1.4650112866817155,11.431715575620768,
router1hop,0.003,0,12,64,V04,0.9,785.0,690.0,95,1053.0,690.0,0,0,2.2701270000027307,2894,30.077770000019655,63322,1.0,17.01297968397291,
lazy_qcap,0.003,0,12,64,V04,1.0,4298.0,4167.0,131,7872.0,399.0,7872,0,5.406163000003517,2894,8.598333999998431,30147,1.0,8.128668171557562,
native_active_c1,0.003,0,12,64,L3,1.0,633.0,407.0,226,779.0,407.0,0,0,2.2372680000160017,2894,5.613775000000487,20019,1.0,10.617792421746293,
witness_c1,0.003,0,12,64,V04,1.0,937.0,806.0,131,841.0,397.0,520,520,4.403918999997813,2894,13.597575999995115,49026,1.0,8.128668171557562,
active_c1,0.003,0,12,128,V04,1.0,815.0,570.0,245,1207.0,570.0,0,0,3.9281039999821132,2894,8.598333999998431,30147,1.0,8.128668171557562,
active_c2,0.003,0,12,128,V04,1.0,946.0,702.0,244,2379.0,702.0,0,0,4.0287550000073225,2894,8.640858000006801,58878,2.0,15.878103837471784,
active_c4,0.003,0,12,128,V04,1.0,1027.0,782.0,245,4509.0,782.0,0,0,3.6695580000127848,2894,9.702291000024843,112882,4.0,30.718961625282166,
active_c8,0.003,0,12,128,V04,1.0,1068.0,823.0,245,8320.0,823.0,0,0,3.5310499999923195,2894,11.340669999981401,206739,8.0,56.41647855530474,
adaptive_deg,0.003,0,12,128,V04,1.0,863.0,618.0,245,1510.0,618.0,0,0,4.005270999982713,2894,25.743295000012267,43096,1.4650112866817155,11.431715575620768,
router1hop,0.003,0,12,128,V04,1.0,1224.0,1063.0,161,2017.0,1063.0,0,0,4.27946199997109,2894,30.077770000019655,63322,1.0,17.01297968397291,
lazy_qcap,0.003,0,12,128,V04,1.0,9332.0,9087.0,245,17892.0,570.0,17892,0,10.854410999996844,2894,8.598333999998431,30147,1.0,8.128668171557562,
native_active_c1,0.003,0,12,128,L3,1.0,913.0,518.0,395,1481.0,518.0,0,0,3.857458999988239,2894,5.613775000000487,20019,1.0,10.617792421746293,
witness_c1,0.003,0,12,128,V04,1.0,1481.0,1233.0,248,1652.0,570.0,889,889,8.020396000006258,2894,13.597575999995115,49026,1.0,8.128668171557562,
active_c1,0.003,0,12,256,V04,1.0,1212.0,750.0,462,2326.0,750.0,0,0,6.918493000029002,2894,8.598333999998431,30147,1.0,8.128668171557562,
active_c2,0.003,0,12,256,V04,1.0,1280.0,817.0,463,4574.0,817.0,0,0,6.477662000008877,2894,8.640858000006801,58878,2.0,15.878103837471784,
active_c4,0.003,0,12,256,V04,1.0,1317.0,854.0,463,8804.0,854.0,0,0,6.858022999949753,2894,9.702291000024843,112882,4.0,30.718961625282166,
active_c8,0.003,0,12,256,V04,1.0,1329.0,866.0,463,16307.0,866.0,0,0,5.066755000001422,2894,11.340669999981401,206739,8.0,56.41647855530474,
adaptive_deg,0.003,0,12,256,V04,1.0,1237.0,773.0,464,3002.0,773.0,0,0,6.679504000004499,2894,25.743295000012267,43096,1.4650112866817155,11.431715575620768,
router1hop,0.003,0,12,256,V04,1.0,1720.0,1431.0,289,3792.0,1431.0,0,0,7.695369000003893,2894,30.077770000019655,63322,1.0,17.01297968397291,
lazy_qcap,0.003,0,12,256,V04,1.0,20866.0,20404.0,462,41381.0,750.0,41381,0,21.959474999988515,2894,8.598333999998431,30147,1.0,8.128668171557562,
native_active_c1,0.003,0,12,256,L3,1.0,1306.0,590.0,716,2884.0,590.0,0,0,5.871641999988242,2894,5.613775000000487,20019,1.0,10.617792421746293,
witness_c1,0.003,0,12,256,V04,1.0,1874.0,1412.0,462,2767.0,749.0,889,889,11.064355999991449,2894,13.597575999995115,49026,1.0,8.128668171557562,
prefilter_exact,0.003,0,15,0,V04,1.0,2894.0,0.0,2894,0.0,0.0,0,0,0.3606109999907403,2894,0.0,0,0.0,0.0,0.0
postfilter_hnsw,0.003,0,15,500,V04,0.3,,,3,,,0,0,30.73137680000002,2894,0.0,0,0.0,0.0,500.0
postfilter_hnsw,0.003,0,15,1000,V04,0.5,,,5,,,0,0,30.73137680000002,2894,0.0,0,0.0,0.0,1000.0
postfilter_hnsw,0.003,0,15,2000,V04,1.0,,,10,,,0,0,30.73137680000002,2894,0.0,0,0.0,0.0,2000.0
postfilter_hnsw,0.003,0,15,4000,V04,1.0,,,10,,,0,0,30.73137680000002,2894,0.0,0,0.0,0.0,4000.0
postfilter_hnsw,0.003,0,15,8000,V04,1.0,,,10,,,0,0,30.73137680000002,2894,0.0,0,0.0,0.0,8000.0
postfilter_hnsw,0.003,0,15,16000,V04,1.0,,,10,,,0,0,30.73137680000002,2894,0.0,0,0.0,0.0,16000.0
active_c1,0.003,0,15,32,V04,0.6,292.0,232.0,60,336.0,232.0,0,0,1.3895950000062385,2894,8.598333999998431,30147,1.0,8.128668171557562,
active_c2,0.003,0,15,32,V04,0.7,406.0,347.0,59,589.0,347.0,0,0,1.2680520000003526,2894,8.640858000006801,58878,2.0,15.878103837471784,
active_c4,0.003,0,15,32,V04,0.7,531.0,473.0,58,1114.0,473.0,0,0,1.2625750000268,2894,9.702291000024843,112882,4.0,30.718961625282166,
active_c8,0.003,0,15,32,V04,0.7,619.0,560.0,59,2007.0,560.0,0,0,1.2397710000016104,2894,11.340669999981401,206739,8.0,56.41647855530474,
adaptive_deg,0.003,0,15,32,V04,0.7,309.0,252.0,57,377.0,252.0,0,0,1.4871820000053049,2894,25.743295000012267,43096,1.4650112866817155,11.431715575620768,
router1hop,0.003,0,15,32,V04,0.5,394.0,357.0,37,469.0,357.0,0,0,1.2635360000388118,2894,30.077770000019655,63322,1.0,17.01297968397291,
lazy_qcap,0.003,0,15,32,V04,0.7,2049.0,1991.0,58,3656.0,231.0,3656,0,3.2905980000066393,2894,8.598333999998431,30147,1.0,8.128668171557562,
native_active_c1,0.003,0,15,32,L3,0.8,357.0,265.0,92,403.0,265.0,0,0,1.2064800000075593,2894,5.613775000000487,20019,1.0,10.617792421746293,
witness_c1,0.003,0,15,32,V04,0.7,489.0,426.0,63,390.0,215.0,228,228,2.2145040000225436,2894,13.597575999995115,49026,1.0,8.128668171557562,
active_c1,0.003,0,15,64,V04,0.9,467.0,351.0,116,603.0,351.0,0,0,2.135865000013837,2894,8.598333999998431,30147,1.0,8.128668171557562,
active_c2,0.003,0,15,64,V04,0.8,636.0,520.0,116,1179.0,520.0,0,0,2.2257800000033967,2894,8.640858000006801,58878,2.0,15.878103837471784,
active_c4,0.003,0,15,64,V04,0.8,753.0,634.0,119,2269.0,634.0,0,0,2.2262619999935396,2894,9.702291000024843,112882,4.0,30.718961625282166,
active_c8,0.003,0,15,64,V04,0.8,824.0,705.0,119,4221.0,705.0,0,0,2.0885550000002695,2894,11.340669999981401,206739,8.0,56.41647855530474,
adaptive_deg,0.003,0,15,64,V04,0.9,510.0,393.0,117,734.0,393.0,0,0,2.148855000001504,2894,25.743295000012267,43096,1.4650112866817155,11.431715575620768,
router1hop,0.003,0,15,64,V04,0.7,704.0,622.0,82,972.0,622.0,0,0,2.2720599999956903,2894,30.077770000019655,63322,1.0,17.01297968397291,
lazy_qcap,0.003,0,15,64,V04,0.9,4121.0,4005.0,116,7459.0,351.0,7459,0,5.5606040000100165,2894,8.598333999998431,30147,1.0,8.128668171557562,
native_active_c1,0.003,0,15,64,L3,1.0,552.0,375.0,177,756.0,375.0,0,0,2.2220849999996517,2894,5.613775000000487,20019,1.0,10.617792421746293,
witness_c1,0.003,0,15,64,V04,0.9,863.0,744.0,119,805.0,352.0,414,414,4.22735499998339,2894,13.597575999995115,49026,1.0,8.128668171557562,
active_c1,0.003,0,15,128,V04,1.0,767.0,544.0,223,1169.0,544.0,0,0,4.06442900001025,2894,8.598333999998431,30147,1.0,8.128668171557562,
active_c2,0.003,0,15,128,V04,1.0,889.0,666.0,223,2250.0,666.0,0,0,3.8852710000014667,2894,8.640858000006801,58878,2.0,15.878103837471784,
active_c4,0.003,0,15,128,V04,1.0,983.0,758.0,225,4422.0,758.0,0,0,3.6985020000201985,2894,9.702291000024843,112882,4.0,30.718961625282166,
active_c8,0.003,0,15,128,V04,1.0,1030.0,805.0,225,8212.0,805.0,0,0,3.3715499999971144,2894,11.340669999981401,206739,8.0,56.41647855530474,
adaptive_deg,0.003,0,15,128,V04,1.0,811.0,588.0,223,1470.0,588.0,0,0,4.0125220000106765,2894,25.743295000012267,43096,1.4650112866817155,11.431715575620768,
router1hop,0.003,0,15,128,V04,1.0,1087.0,935.0,152,1867.0,935.0,0,0,4.231751000020267,2894,30.077770000019655,63322,1.0,17.01297968397291,
lazy_qcap,0.003,0,15,128,V04,1.0,9387.0,9164.0,223,17355.0,544.0,17355,0,11.638957999963395,2894,8.598333999998431,30147,1.0,8.128668171557562,
native_active_c1,0.003,0,15,128,L3,1.0,867.0,492.0,375,1476.0,492.0,0,0,3.7755959999969946,2894,5.613775000000487,20019,1.0,10.617792421746293,
witness_c1,0.003,0,15,128,V04,1.0,1347.0,1124.0,223,1513.0,544.0,754,754,7.597071999981608,2894,13.597575999995115,49026,1.0,8.128668171557562,
active_c1,0.003,0,15,256,V04,1.0,1165.0,707.0,458,2258.0,707.0,0,0,6.8241409999814095,2894,8.598333999998431,30147,1.0,8.128668171557562,
active_c2,0.003,0,15,256,V04,1.0,1243.0,784.0,459,4429.0,784.0,0,0,6.210250000037831,2894,8.640858000006801,58878,2.0,15.878103837471784,
active_c4,0.003,0,15,256,V04,1.0,1295.0,836.0,459,8698.0,836.0,0,0,5.454655999983515,2894,9.702291000024843,112882,4.0,30.718961625282166,
active_c8,0.003,0,15,256,V04,1.0,1324.0,865.0,459,16127.0,865.0,0,0,4.905841999971017,2894,11.340669999981401,206739,8.0,56.41647855530474,
adaptive_deg,0.003,0,15,256,V04,1.0,1197.0,737.0,460,2950.0,737.0,0,0,6.675379000000703,2894,25.743295000012267,43096,1.4650112866817155,11.431715575620768,
router1hop,0.003,0,15,256,V04,1.0,1567.0,1290.0,277,3589.0,1290.0,0,0,7.65146300003039,2894,30.077770000019655,63322,1.0,17.01297968397291,
lazy_qcap,0.003,0,15,256,V04,1.0,20372.0,19914.0,458,38853.0,707.0,38853,0,22.178164999985484,2894,8.598333999998431,30147,1.0,8.128668171557562,
native_active_c1,0.003,0,15,256,L3,1.0,1276.0,583.0,693,2847.0,583.0,0,0,5.828156999996281,2894,5.613775000000487,20019,1.0,10.617792421746293,
witness_c1,0.003,0,15,256,V04,1.0,1745.0,1287.0,458,2615.0,707.0,754,754,10.454139000017904,2894,13.597575999995115,49026,1.0,8.128668171557562,
prefilter_exact,0.003,0,18,0,V04,1.0,2894.0,0.0,2894,0.0,0.0,0,0,0.38791199997945114,2894,0.0,0,0.0,0.0,0.0
postfilter_hnsw,0.003,0,18,500,V04,0.1,,,1,,,0,0,30.73137680000002,2894,0.0,0,0.0,0.0,500.0
postfilter_hnsw,0.003,0,18,1000,V04,0.2,,,2,,,0,0,30.73137680000002,2894,0.0,0,0.0,0.0,1000.0
postfilter_hnsw,0.003,0,18,2000,V04,0.4,,,4,,,0,0,30.73137680000002,2894,0.0,0,0.0,0.0,2000.0
postfilter_hnsw,0.003,0,18,4000,V04,0.9,,,9,,,0,0,30.73137680000002,2894,0.0,0,0.0,0.0,4000.0
postfilter_hnsw,0.003,0,18,8000,V04,1.0,,,10,,,0,0,30.73137680000002,2894,0.0,0,0.0,0.0,8000.0
postfilter_hnsw,0.003,0,18,16000,V04,1.0,,,10,,,0,0,30.73137680000002,2894,0.0,0,0.0,0.0,16000.0
active_c1,0.003,0,18,32,V04,0.3,309.0,248.0,61,334.0,248.0,0,0,1.289697000004253,2894,8.598333999998431,30147,1.0,8.128668171557562,
active_c2,0.003,0,18,32,V04,0.3,494.0,428.0,66,717.0,428.0,0,0,1.4322590000119817,2894,8.640858000006801,58878,2.0,15.878103837471784,
active_c4,0.003,0,18,32,V04,0.4,578.0,510.0,68,1110.0,510.0,0,0,1.2619749999771557,2894,9.702291000024843,112882,4.0,30.718961625282166,
active_c8,0.003,0,18,32,V04,0.4,701.0,631.0,70,2073.0,631.0,0,0,1.3018740000063644,2894,11.340669999981401,206739,8.0,56.41647855530474,
adaptive_deg,0.003,0,18,32,V04,0.3,345.0,280.0,65,389.0,280.0,0,0,1.2006719999817506,2894,25.743295000012267,43096,1.4650112866817155,11.431715575620768,
