threshold,selectivity,best_graph_method,level_name,parameter,graph_recall,graph_distances,graph_edges,graph_materialization_ms,exact_scan_distances,postfilter_min_pool,postfilter_recall,distance_reduction_vs_scan,distance_reduction_vs_post_pool_lb
0.95,0.001,active_c1,L3,128.0,0.99,515.0666666666667,870.0666666666667,3.3121773333372557,1040.6666666666667,16000,0.9966666666666666,0.5050608584240871,0.9678083333333334
0.95,0.002,active_c1,L3,128.0,0.9533333333333334,739.0666666666667,1308.6333333333334,5.035854000008537,2016.6666666666667,8000,0.9966666666666666,0.6335206611570248,0.9076166666666666
0.95,0.003,adaptive_deg,V04,128.0,0.95,837.1333333333333,1496.9666666666667,25.866192666664272,2895.333333333333,4000,0.9833333333333332,0.7108680635505411,0.7907166666666667
0.95,0.005,native_active_c1,L3,128.0,0.9766666666666668,1168.3,1783.4666666666667,6.913929666675737,4936.666666666667,4000,0.9933333333333334,0.7633423362592843,0.707925
0.95,0.007,native_active_c1,L2,256.0,0.95,1445.3666666666666,2061.6,23.533378333344974,7114.666666666667,2000,1.0,0.7968468890554723,0.27731666666666677
0.95,0.01,native_active_c1,L2,256.0,0.9566666666666668,1714.7666666666669,2499.6,30.346869666667924,9917.666666666666,2000,0.9966666666666666,0.8270997882566463,0.1426166666666666
0.95,0.02,none,,,,,,,19797.0,1000,0.9966666666666666,,
0.99,0.001,active_c1,L3,128.0,0.99,515.0666666666667,870.0666666666667,3.3121773333372557,1040.6666666666667,16000,0.9966666666666666,0.5050608584240871,0.9678083333333334
0.99,0.002,active_c1,L3,256.0,1.0,1049.2666666666669,2568.0666666666666,5.035854000008537,2016.6666666666667,8000,0.9966666666666666,0.4797024793388429,0.8688416666666666
0.99,0.003,adaptive_deg,V04,256.0,1.0,1219.8333333333333,2992.133333333333,25.866192666664272,2895.333333333333,8000,0.9966666666666666,0.5786898457287589,0.8475208333333333
0.99,0.005,active_c1,V04,256.0,0.99,1559.0,2971.133333333333,11.3551149999959,4936.666666666667,4000,0.9933333333333334,0.6841998649561107,0.61025
0.99,0.007,none,,,,,,,7114.666666666667,2000,1.0,,
0.99,0.01,none,,,,,,,9917.666666666666,2000,0.9966666666666666,,
0.99,0.02,none,,,,,,,19797.0,1000,0.9966666666666666,,
