method,selectivity,parameter,level_name,recall,recall_p10,distance_computations,portal_computations,payload_computations,adjacency_reads,visited_cells,summary_checks_query,child_reads_query,latency_ms,valid_count,materialization_ms,materialization_summary_checks,copies_used_mean,active_degree_mean
active_c4,0.001,128,L3,1.0,1.0,559.9333333333333,354.76666666666665,205.16666666666666,3281.6,354.76666666666665,0.0,0.0,2.640521066668574,1040.6666666666667,3.6949856666694814,43314.333333333336,4.0,23.39692731395358
active_c4,0.001,256,L3,1.0,1.0,759.9,369.1666666666667,390.73333333333335,6345.5,369.1666666666667,0.0,0.0,3.6666913333334605,1040.6666666666667,3.6949856666694814,43314.333333333336,4.0,23.39692731395358
active_c8,0.001,32,L3,0.83,0.69,373.3,317.5,55.8,1540.3333333333333,317.5,0.0,0.0,1.1510995666715946,1040.6666666666667,4.226172333346767,78978.0,8.0,42.963469411854895
active_c8,0.001,64,L3,0.9433333333333334,0.89,452.43333333333334,345.43333333333334,107.0,3068.633333333333,345.43333333333334,0.0,0.0,1.6515007999970521,1040.6666666666667,4.226172333346767,78978.0,8.0,42.963469411854895
active_c8,0.001,128,L3,1.0,1.0,567.6666666666666,362.5,205.16666666666666,6078.066666666667,362.5,0.0,0.0,2.3259435999998836,1040.6666666666667,4.226172333346767,78978.0,8.0,42.963469411854895
active_c8,0.001,256,L3,1.0,1.0,772.0333333333333,381.3,390.73333333333335,11676.933333333332,381.3,0.0,0.0,3.4134959666649443,1040.6666666666667,4.226172333346767,78978.0,8.0,42.963469411854895
adaptive_deg,0.001,32,L3,0.7733333333333333,0.5,266.6333333333333,210.76666666666668,55.86666666666667,371.8,210.76666666666668,0.0,0.0,1.1593149666632978,1040.6666666666667,12.089830999997275,20630.666666666668,1.8062909719027473,10.926399545931186
adaptive_deg,0.001,64,L3,0.9333333333333333,0.8800000000000001,388.4,281.6333333333333,106.76666666666667,723.0,281.6333333333333,0.0,0.0,2.0129539999980275,1040.6666666666667,12.089830999997275,20630.666666666668,1.8062909719027473,10.926399545931186
adaptive_deg,0.001,128,L3,1.0,1.0,541.0333333333333,335.8666666666667,205.16666666666666,1428.0333333333333,335.8666666666667,0.0,0.0,3.2094084333389596,1040.6666666666667,12.089830999997275,20630.666666666668,1.8062909719027473,10.926399545931186
adaptive_deg,0.001,256,L3,1.0,1.0,752.2333333333333,361.53333333333336,390.7,2841.733333333333,361.53333333333336,0.0,0.0,4.4136690999996135,1040.6666666666667,12.089830999997275,20630.666666666668,1.8062909719027473,10.926399545931186
lazy_qcap,0.001,32,L3,0.7666666666666667,0.59,3558.5333333333333,3501.6,56.93333333333333,8798.566666666668,162.53333333333333,8798.566666666668,0.0,4.371104266663413,1040.6666666666667,3.3121773333372553,11575.333333333334,1.0,6.20610382023822
lazy_qcap,0.001,64,L3,0.9,0.7,6954.366666666667,6846.566666666667,107.8,17411.733333333334,238.9,17411.733333333334,0.0,8.053130099998876,1040.6666666666667,3.3121773333372553,11575.333333333334,1.0,6.20610382023822
lazy_qcap,0.001,128,L3,0.99,0.99,13727.133333333333,13522.433333333332,204.7,34883.5,310.56666666666666,34883.5,0.0,15.078214833327289,1040.6666666666667,3.3121773333372553,11575.333333333334,1.0,6.20610382023822
lazy_qcap,0.001,256,L3,1.0,1.0,26866.866666666665,26475.933333333334,390.93333333333334,69499.3,352.7,69499.3,0.0,27.978189666669095,1040.6666666666667,3.3121773333372553,11575.333333333334,1.0,6.20610382023822
postfilter_hnsw,0.001,500,L3,0.03666666666666667,0.0,,,0.36666666666666664,,,0.0,0.0,30.73137680000002,1040.6666666666667,0.0,0.0,0.0,0.0
postfilter_hnsw,0.001,1000,L3,0.1,0.0,,,1.0,,,0.0,0.0,30.73137680000002,1040.6666666666667,0.0,0.0,0.0,0.0
postfilter_hnsw,0.001,2000,L3,0.2,0.0,,,2.0,,,0.0,0.0,30.73137680000002,1040.6666666666667,0.0,0.0,0.0,0.0
postfilter_hnsw,0.001,4000,L3,0.39333333333333337,0.2,,,3.933333333333333,,,0.0,0.0,30.73137680000002,1040.6666666666667,0.0,0.0,0.0,0.0
postfilter_hnsw,0.001,8000,L3,0.7266666666666667,0.49000000000000005,,,7.3,,,0.0,0.0,30.73137680000002,1040.6666666666667,0.0,0.0,0.0,0.0
postfilter_hnsw,0.001,16000,L3,0.9966666666666666,1.0,,,10.0,,,0.0,0.0,30.73137680000002,1040.6666666666667,0.0,0.0,0.0,0.0
prefilter_exact,0.001,0,L3,1.0,1.0,1040.6666666666667,0.0,1040.6666666666667,0.0,0.0,0.0,0.0,0.14499166666629057,1040.6666666666667,0.0,0.0,0.0,0.0
router1hop,0.001,32,L3,0.6133333333333333,0.3,369.2,334.8666666666667,34.333333333333336,462.73333333333335,334.8666666666667,0.0,0.0,1.2461532666577568,1040.6666666666667,14.254826666672216,31076.0,1.0,16.567525971727214
router1hop,0.001,64,L3,0.8,0.6,568.1,505.03333333333336,63.06666666666667,841.6,505.03333333333336,0.0,0.0,2.184153766664091,1040.6666666666667,14.254826666672216,31076.0,1.0,16.567525971727214
router1hop,0.001,128,L3,0.9233333333333333,0.7,801.3,692.8666666666667,108.43333333333334,1570.4666666666667,692.8666666666667,0.0,0.0,3.8063449666689544,1040.6666666666667,14.254826666672216,31076.0,1.0,16.567525971727214
router1hop,0.001,256,L3,0.9966666666666666,1.0,1047.9333333333334,860.3,187.63333333333333,2970.5333333333333,860.3,0.0,0.0,6.207234466668865,1040.6666666666667,14.254826666672216,31076.0,1.0,16.567525971727214
witness_c1,0.001,32,L3,0.7899999999999999,0.59,515.2666666666667,459.8666666666667,55.4,346.2,160.16666666666666,917.8333333333334,917.8333333333334,2.2516997333307622,1040.6666666666667,4.097552999998773,14158.333333333334,1.0,6.20610382023822
witness_c1,0.001,64,L3,0.9166666666666666,0.79,761.4333333333333,654.8666666666667,106.56666666666666,651.9,238.6,1825.8333333333333,1825.8333333333333,4.050242966666436,1040.6666666666667,4.097552999998773,14158.333333333334,1.0,6.20610382023822
witness_c1,0.001,128,L3,0.99,0.99,1002.7333333333333,798.3666666666667,204.36666666666667,1265.7,310.56666666666666,3462.9333333333334,3462.9333333333334,7.096058700003027,1040.6666666666667,4.097552999998773,14158.333333333334,1.0,6.20610382023822
witness_c1,0.001,256,L3,1.0,1.0,1231.4666666666667,840.5333333333333,390.93333333333334,2071.633333333333,352.73333333333335,3462.9333333333334,3462.9333333333334,8.552948866665133,1040.6666666666667,4.097552999998773,14158.333333333334,1.0,6.20610382023822
active_c1,0.002,32,L3,0.61,0.4,320.73333333333335,241.23333333333332,79.5,356.56666666666666,241.23333333333332,0.0,0.0,1.3263137333315929,2016.6666666666667,5.035854000008537,17278.666666666668,1.0,9.269973669407626
active_c1,0.002,64,L3,0.8233333333333334,0.7,499.6,347.93333333333334,151.66666666666666,667.0333333333333,347.93333333333334,0.0,0.0,2.1626757333336855,2016.6666666666667,5.035854000008537,17278.666666666668,1.0,9.269973669407626
active_c1,0.002,128,L3,0.9533333333333334,0.89,739.0666666666667,456.56666666666666,282.5,1308.6333333333334,456.56666666666666,0.0,0.0,3.741948200000896,2016.6666666666667,5.035854000008537,17278.666666666668,1.0,9.269973669407626
active_c1,0.002,256,L3,1.0,1.0,1049.2666666666667,521.0,528.2666666666667,2568.0666666666666,521.0,0.0,0.0,5.589995366669124,2016.6666666666667,5.035854000008537,17278.666666666668,1.0,9.269973669407626
active_c2,0.002,32,L3,0.7133333333333333,0.59,415.8333333333333,335.46666666666664,80.36666666666666,649.3333333333334,335.46666666666664,0.0,0.0,1.2312030666663532,2016.6666666666667,5.176175000002559,33837.333333333336,2.0,18.18733781251762
active_c2,0.002,64,L3,0.8966666666666666,0.79,588.3666666666667,435.73333333333335,152.63333333333333,1287.7333333333333,435.73333333333335,0.0,0.0,2.1428459333312353,2016.6666666666667,5.176175000002559,33837.333333333336,2.0,18.18733781251762
active_c2,0.002,128,L3,0.9733333333333333,0.9,787.0333333333333,504.1333333333333,282.9,2566.1,504.1333333333333,0.0,0.0,3.423468266665471,2016.6666666666667,5.176175000002559,33837.333333333336,2.0,18.18733781251762
active_c2,0.002,256,L3,1.0,1.0,1066.0333333333333,537.5333333333333,528.5,5046.7,537.5333333333333,0.0,0.0,4.804693533334141,2016.6666666666667,5.176175000002559,33837.333333333336,2.0,18.18733781251762
active_c4,0.002,32,L3,0.7733333333333333,0.6,501.8666666666667,422.43333333333334,79.43333333333334,1232.0666666666666,422.43333333333334,0.0,0.0,1.2276290333337176,2016.6666666666667,5.7006556666578945,64450.666666666664,4.0,34.69747560903275
active_c4,0.002,64,L3,0.9,0.79,636.6333333333333,484.3666666666667,152.26666666666668,2463.8333333333335,484.3666666666667,0.0,0.0,2.0172770999996223,2016.6666666666667,5.7006556666578945,64450.666666666664,4.0,34.69747560903275
active_c4,0.002,128,L3,0.9733333333333333,0.9,807.0333333333333,524.1333333333333,282.9,4907.233333333334,524.1333333333333,0.0,0.0,2.9400652999981958,2016.6666666666667,5.7006556666578945,64450.666666666664,4.0,34.69747560903275
active_c4,0.002,256,L3,1.0,1.0,1076.3333333333333,547.8333333333334,528.5,9644.033333333333,547.8333333333334,0.0,0.0,4.144460666673429,2016.6666666666667,5.7006556666578945,64450.666666666664,4.0,34.69747560903275
active_c8,0.002,32,L3,0.7833333333333333,0.6,548.5333333333333,469.23333333333335,79.3,2263.3,469.23333333333335,0.0,0.0,1.2083119666660498,2016.6666666666667,6.750634333333967,117244.33333333333,8.0,63.15059957051541
active_c8,0.002,64,L3,0.9,0.79,659.4333333333333,507.23333333333335,152.2,4531.133333333333,507.23333333333335,0.0,0.0,1.8221359666644805,2016.6666666666667,6.750634333333967,117244.33333333333,8.0,63.15059957051541
active_c8,0.002,128,L3,0.9733333333333333,0.9,819.5666666666667,536.6666666666666,282.9,9006.4,536.6666666666666,0.0,0.0,2.635650766663389,2016.6666666666667,6.750634333333967,117244.33333333333,8.0,63.15059957051541
active_c8,0.002,256,L3,1.0,1.0,1089.7333333333333,561.2333333333333,528.5,17661.066666666666,561.2333333333333,0.0,0.0,3.8320097333297554,2016.6666666666667,6.750634333333967,117244.33333333333,8.0,63.15059957051541
adaptive_deg,0.002,32,L3,0.6566666666666666,0.5,339.06666666666666,259.93333333333334,79.13333333333334,402.9,259.93333333333334,0.0,0.0,1.201488300002514,2016.6666666666667,13.759703666664791,22071.0,1.2982862668581718,11.723691188557863
adaptive_deg,0.002,64,L3,0.8333333333333334,0.7,522.4333333333333,370.8,151.63333333333333,773.0,370.8,0.0,0.0,2.1366132666656767,2016.6666666666667,13.759703666664791,22071.0,1.2982862668581718,11.723691188557863
adaptive_deg,0.002,128,L3,0.9733333333333333,0.9,753.6666666666666,470.8333333333333,282.8333333333333,1539.8333333333333,470.8333333333333,0.0,0.0,3.669476366667368,2016.6666666666667,13.759703666664791,22071.0,1.2982862668581718,11.723691188557863
adaptive_deg,0.002,256,L3,1.0,1.0,1054.8666666666666,526.3666666666667,528.5,3055.5,526.3666666666667,0.0,0.0,5.417847366663864,2016.6666666666667,13.759703666664791,22071.0,1.2982862668581718,11.723691188557863
lazy_qcap,0.002,32,L3,0.69,0.49000000000000005,1658.9333333333334,1577.6666666666667,81.26666666666667,2677.133333333333,239.06666666666666,2677.133333333333,0.0,2.680671699999948,2016.6666666666667,5.035854000008537,17278.666666666668,1.0,9.269973669407626
lazy_qcap,0.002,64,L3,0.8433333333333334,0.7,3113.8,2961.3,152.5,5215.2,348.0,5215.2,0.0,4.821695533334491,2016.6666666666667,5.035854000008537,17278.666666666668,1.0,9.269973669407626
lazy_qcap,0.002,128,L3,0.9600000000000001,0.9,6209.166666666667,5926.433333333333,282.73333333333335,10820.933333333332,456.56666666666666,10820.933333333332,0.0,8.977811666665048,2016.6666666666667,5.035854000008537,17278.666666666668,1.0,9.269973669407626
lazy_qcap,0.002,256,L3,1.0,1.0,12363.233333333334,11834.966666666667,528.2666666666667,22379.766666666666,521.0,22379.766666666666,0.0,15.652042933332192,2016.6666666666667,5.035854000008537,17278.666666666668,1.0,9.269973669407626
postfilter_hnsw,0.002,500,L3,0.08333333333333333,0.0,,,0.8333333333333334,,,0.0,0.0,30.73137680000002,2016.6666666666667,0.0,0.0,0.0,0.0
postfilter_hnsw,0.002,1000,L3,0.14666666666666667,0.0,,,1.4666666666666666,,,0.0,0.0,30.73137680000002,2016.6666666666667,0.0,0.0,0.0,0.0
postfilter_hnsw,0.002,2000,L3,0.36666666666666664,0.1,,,3.6666666666666665,,,0.0,0.0,30.73137680000002,2016.6666666666667,0.0,0.0,0.0,0.0
postfilter_hnsw,0.002,4000,L3,0.77,0.39000000000000007,,,7.7,,,0.0,0.0,30.73137680000002,2016.6666666666667,0.0,0.0,0.0,0.0
postfilter_hnsw,0.002,8000,L3,0.9966666666666666,1.0,,,10.0,,,0.0,0.0,30.73137680000002,2016.6666666666667,0.0,0.0,0.0,0.0
postfilter_hnsw,0.002,16000,L3,0.9966666666666666,1.0,,,10.0,,,0.0,0.0,30.73137680000002,2016.6666666666667,0.0,0.0,0.0,0.0
prefilter_exact,0.002,0,L3,1.0,1.0,2016.6666666666667,0.0,2016.6666666666667,0.0,0.0,0.0,0.0,0.26914723332917373,2016.6666666666667,0.0,0.0,0.0,0.0
router1hop,0.002,32,L3,0.58,0.4,448.4,387.6333333333333,60.766666666666666,550.9,387.6333333333333,0.0,0.0,1.2818583999935147,2016.6666666666667,14.909179000009468,31076.0,1.0,16.534537394689252
router1hop,0.002,64,L3,0.8166666666666667,0.7,686.3333333333334,570.3,116.03333333333333,1006.6,570.3,0.0,0.0,2.249207800001803,2016.6666666666667,14.909179000009468,31076.0,1.0,16.534537394689252
router1hop,0.002,128,L3,0.95,0.9,969.4666666666667,765.4333333333333,204.03333333333333,1949.7,765.4333333333333,0.0,0.0,4.050272033333613,2016.6666666666667,14.909179000009468,31076.0,1.0,16.534537394689252
router1hop,0.002,256,L3,0.99,0.99,1272.3666666666666,915.6666666666666,356.7,3784.366666666667,915.6666666666666,0.0,0.0,6.640765900001118,2016.6666666666667,14.909179000009468,31076.0,1.0,16.534537394689252
witness_c1,0.002,32,L3,0.6866666666666668,0.4,735.0,655.1666666666666,79.83333333333333,464.46666666666664,234.9,980.6,980.6,2.3851311000044007,2016.6666666666667,5.907788666680365,20187.333333333332,1.0,9.269973669407626
witness_c1,0.002,64,L3,0.8566666666666667,0.7,1089.8,938.2,151.6,897.7333333333333,348.6666666666667,1899.2333333333333,1899.2333333333333,4.399441466672253,2016.6666666666667,5.907788666680365,20187.333333333332,1.0,9.269973669407626
witness_c1,0.002,128,L3,0.9666666666666667,0.9,1420.0333333333333,1137.6333333333334,282.4,1759.9,456.7,3616.233333333333,3616.233333333333,7.817138266664377,2016.6666666666667,5.907788666680365,20187.333333333332,1.0,9.269973669407626
witness_c1,0.002,256,L3,1.0,1.0,1730.1333333333334,1201.9,528.2333333333333,3021.133333333333,520.9666666666667,3616.233333333333,3616.233333333333,9.703862000001587,2016.6666666666667,5.907788666680365,20187.333333333332,1.0,9.269973669407626
active_c1,0.003,32,V04,0.5633333333333332,0.3,306.6666666666667,241.3,65.36666666666666,332.96666666666664,241.3,0.0,0.0,1.3208729333342717,2895.3333333333335,8.44760466666609,29886.666666666668,1.0,8.024974838290529
active_c1,0.003,64,V04,0.7733333333333333,0.59,498.96666666666664,374.8,124.16666666666667,611.8,374.8,0.0,0.0,2.183407033332211,2895.3333333333335,8.44760466666609,29886.666666666668,1.0,8.024974838290529
active_c1,0.003,128,V04,0.9366666666666668,0.89,785.9333333333333,547.0333333333333,238.9,1176.2,547.0333333333333,0.0,0.0,3.980693733338588,2895.3333333333335,8.44760466666609,29886.666666666668,1.0,8.024974838290529
active_c1,0.003,256,V04,0.9866666666666667,0.9,1182.1666666666667,726.2333333333333,455.93333333333334,2279.4,726.2333333333333,0.0,0.0,6.95903113333145,2895.3333333333335,8.44760466666609,29886.666666666668,1.0,8.024974838290529
active_c2,0.003,32,V04,0.67,0.3,434.3666666666667,369.76666666666665,64.6,608.3666666666667,369.76666666666665,0.0,0.0,1.257504199998986,2895.3333333333335,8.63664166666922,58450.0,2.0,15.75674196339212
active_c2,0.003,64,V04,0.8800000000000001,0.7,647.4333333333333,522.8333333333334,124.6,1159.9,522.8333333333334,0.0,0.0,2.226299766667239,2895.3333333333335,8.63664166666922,58450.0,2.0,15.75674196339212
active_c2,0.003,128,V04,0.9533333333333334,0.9,918.5333333333333,679.2666666666667,239.26666666666668,2281.866666666667,679.2666666666667,0.0,0.0,3.9711300333332624,2895.3333333333335,8.63664166666922,58450.0,2.0,15.75674196339212
active_c2,0.003,256,V04,1.0,1.0,1266.2333333333333,809.4666666666667,456.76666666666665,4475.566666666667,809.4666666666667,0.0,0.0,6.496857600006933,2895.3333333333335,8.63664166666922,58450.0,2.0,15.75674196339212
active_c4,0.003,32,V04,0.7200000000000001,0.4,573.0666666666667,508.5,64.56666666666666,1135.6333333333334,508.5,0.0,0.0,1.2853045000023637,2895.3333333333335,9.652035666675829,111905.33333333333,4.0,30.35045967314143
active_c4,0.003,64,V04,0.88,0.7,772.9666666666667,648.5,124.46666666666667,2230.0333333333333,648.5,0.0,0.0,2.232281466667511,2895.3333333333335,9.652035666675829,111905.33333333333,4.0,30.35045967314143
active_c4,0.003,128,V04,0.9566666666666667,0.9,1003.6666666666666,764.1666666666666,239.5,4400.266666666666,764.1666666666666,0.0,0.0,3.731699533334639,2895.3333333333335,9.652035666675829,111905.33333333333,4.0,30.35045967314143
active_c4,0.003,256,V04,1.0,1.0,1307.9,851.1333333333333,456.76666666666665,8660.733333333334,851.1333333333333,0.0,0.0,5.78170416666713,2895.3333333333335,9.652035666675829,111905.33333333333,4.0,30.35045967314143
active_c8,0.003,32,V04,0.7266666666666667,0.49000000000000005,680.0666666666667,615.3,64.76666666666667,2084.266666666667,615.3,0.0,0.0,1.289085666668181,2895.3333333333335,11.242021666655925,205051.33333333334,8.0,55.900392636925034
active_c8,0.003,64,V04,0.88,0.7,854.6666666666666,730.1333333333333,124.53333333333333,4138.8,730.1333333333333,0.0,0.0,2.189367366662509,2895.3333333333335,11.242021666655925,205051.33333333334,8.0,55.900392636925034
active_c8,0.003,128,V04,0.9566666666666667,0.9,1052.5333333333333,813.0333333333333,239.5,8190.7,813.0333333333333,0.0,0.0,3.4797065999972197,2895.3333333333335,11.242021666655925,205051.33333333334,8.0,55.900392636925034
active_c8,0.003,256,V04,1.0,1.0,1330.1333333333334,873.3666666666667,456.76666666666665,16124.6,873.3666666666667,0.0,0.0,5.117696366667701,2895.3333333333335,11.242021666655925,205051.33333333334,8.0,55.900392636925034
adaptive_deg,0.003,32,V04,0.62,0.3,341.1666666666667,277.76666666666665,63.4,397.23333333333335,277.76666666666665,0.0,0.0,1.2302629333267607,2895.3333333333335,25.866192666664272,43178.333333333336,1.481007841528862,11.428961567822027
adaptive_deg,0.003,64,V04,0.8466666666666666,0.7,547.0666666666667,422.43333333333334,124.63333333333334,756.4,422.43333333333334,0.0,0.0,2.192277466665852,2895.3333333333335,25.866192666664272,43178.333333333336,1.481007841528862,11.428961567822027
adaptive_deg,0.003,128,V04,0.95,0.9,837.1333333333333,597.8666666666667,239.26666666666668,1496.9666666666667,597.8666666666667,0.0,0.0,4.0133019666636,2895.3333333333335,25.866192666664272,43178.333333333336,1.481007841528862,11.428961567822027
adaptive_deg,0.003,256,V04,1.0,1.0,1219.8333333333333,763.0333333333333,456.8,2992.133333333333,763.0333333333333,0.0,0.0,6.896644699997978,2895.3333333333335,25.866192666664272,43178.333333333336,1.481007841528862,11.428961567822027
lazy_qcap,0.003,32,V04,0.63,0.39000000000000007,2221.4333333333334,2155.5333333333333,65.9,4042.266666666667,239.73333333333332,4042.266666666667,0.0,3.033261833330888,2895.3333333333335,8.44760466666609,29886.666666666668,1.0,8.024974838290529
lazy_qcap,0.003,64,V04,0.83,0.7,4681.766666666666,4556.266666666666,125.5,8728.233333333334,376.4,8728.233333333334,0.0,5.730393400003209,2895.3333333333335,8.44760466666609,29886.666666666668,1.0,8.024974838290529
lazy_qcap,0.003,128,V04,0.94,0.89,9700.066666666668,9460.933333333332,239.13333333333333,18623.2,547.4666666666667,18623.2,0.0,11.211311066662688,2895.3333333333335,8.44760466666609,29886.666666666668,1.0,8.024974838290529
lazy_qcap,0.003,256,V04,0.99,0.99,21266.266666666666,20810.2,456.06666666666666,42070.666666666664,726.2,42070.666666666664,0.0,22.78640453333196,2895.3333333333335,8.44760466666609,29886.666666666668,1.0,8.024974838290529
native_active_c1,0.003,32,L3,0.6766666666666666,0.49000000000000005,376.1333333333333,272.1333333333333,104.0,404.03333333333336,272.1333333333333,0.0,0.0,1.2846588666652299,2895.3333333333335,5.690052666674698,20210.666666666668,1.0,10.709888345438582
native_active_c1,0.003,64,L3,0.84,0.69,596.5333333333333,401.3,195.23333333333332,765.6333333333333,401.3,0.0,0.0,2.2701468666629885,2895.3333333333335,5.690052666674698,20210.666666666668,1.0,10.709888345438582
native_active_c1,0.003,128,L3,0.9733333333333333,0.9,890.8333333333334,527.9333333333333,362.9,1507.7333333333333,527.9333333333333,0.0,0.0,3.976042533330807,2895.3333333333335,5.690052666674698,20210.666666666668,1.0,10.709888345438582
native_active_c1,0.003,256,L3,0.9966666666666666,1.0,1273.6333333333334,607.6333333333333,666.0,2969.7,607.6333333333333,0.0,0.0,6.119123866671809,2895.3333333333335,5.690052666674698,20210.666666666668,1.0,10.709888345438582
postfilter_hnsw,0.003,500,V04,0.15666666666666668,0.0,,,1.5666666666666667,,,0.0,0.0,30.73137680000002,2895.3333333333335,0.0,0.0,0.0,0.0
