selectivity,method,level_name,recall,distance_computations,adjacency_reads,materialization_ms,copies_used_mean,active_degree_mean
0.007,active_c8,V08,0.94,1778.8666666666666,9835.566666666668,27.092086000000865,8.0,64.91505235386741
0.007,adaptive_deg,V08,0.9333333333333332,1128.4,1582.3,53.33670333332445,1.29757526693859,11.688899705683362
0.007,lazy_qcap,V08,0.92,5655.9,8974.433333333332,19.367656333325083,1.0,9.418504874892433
0.007,native_active_c1,L2,0.8033333333333333,878.9,1079.4666666666667,23.533378333344974,1.0,6.628051361493002
0.007,router1hop,V08,0.8433333333333334,1470.0666666666666,2091.366666666667,61.86579033332388,1.0,17.25828613395611
0.007,witness_c1,V08,0.9266666666666666,2045.9666666666667,1923.9,25.973486999987472,1.0,9.418504874892433
0.01,active_c1,V08,0.89,1257.8333333333333,1624.5666666666666,23.076061333332134,1.0,10.932334011499472
0.01,active_c2,V08,0.92,1591.9,3151.9333333333334,24.150102999991912,2.0,21.381977555278347
0.01,active_c4,V08,0.92,1880.0666666666664,6086.5,27.01237600000657,4.0,40.93402616730865
0.01,active_c8,V08,0.92,2089.4,11321.666666666666,33.07520733333528,8.0,75.19416404013967
0.01,adaptive_deg,V08,0.8933333333333333,1277.7333333333331,1694.8666666666666,58.051030333331255,1.1585504941507778,12.280236887250949
0.01,lazy_qcap,V08,0.8966666666666666,3244.133333333333,4465.033333333334,23.076061333332134,1.0,10.932334011499472
0.01,native_active_c1,L2,0.8333333333333334,1034.1666666666667,1280.4666666666667,30.346869666667924,1.0,8.206748401926456
0.01,router1hop,V08,0.86,1590.2666666666669,2206.0,62.94066533333383,1.0,17.03692254888153
0.01,witness_c1,V08,0.9133333333333332,2355.6666666666665,2160.633333333333,30.199247999992924,1.0,10.932334011499472
0.02,active_c1,L2,0.7799999999999999,1452.8666666666666,1733.9666666666667,45.61920233333202,1.0,11.327023445518437
0.02,active_c2,L2,0.83,1951.5666666666664,3338.9333333333334,48.38930966665581,2.0,22.069807127861534
0.02,active_c4,L2,0.83,2463.0666666666666,6406.2,55.40722900000598,4.0,41.95975590168271
0.02,active_c8,L2,0.83,2905.5666666666666,11814.333333333334,66.91107066666291,8.0,75.91278843812523
0.02,adaptive_deg,L2,0.7799999999999999,1468.9666666666667,1782.1666666666667,113.4294729999965,1.1391876099316467,12.474478687977564
0.02,lazy_qcap,L2,0.7899999999999999,2617.733333333333,3342.8,45.61920233333202,1.0,11.327023445518437
0.02,router1hop,L2,0.7433333333333334,1798.6666666666667,2275.0,125.88338366667055,1.0,17.183920896344627
0.02,witness_c1,L2,0.7966666666666666,3039.9333333333334,2304.0333333333333,53.73563999999457,1.0,11.327023445518437
