selectivity,mask_seed,level_name,method,valid_count,active_cells,point_valid_degree,point_zero_degree,active_degree,active_zero_degree,copies_used_mean
0.001,0,L3,active_c1,1040,692,0.013461538461538462,0.9865384615384616,6.199421965317919,0.001445086705202312,1.0
0.001,0,L3,active_c2,1040,692,0.013461538461538462,0.9865384615384616,12.367052023121387,0.0,2.0
0.001,0,L3,active_c4,1040,692,0.013461538461538462,0.9865384615384616,23.393063583815028,0.0,4.0
0.001,0,L3,active_c8,1040,692,0.013461538461538462,0.9865384615384616,42.947976878612714,0.0,8.0
0.001,0,L3,adaptive_deg,1040,692,0.013461538461538462,0.9865384615384616,10.984104046242775,0.0,1.80635838150289
0.001,0,L3,router1hop,1040,692,0.013461538461538462,0.9865384615384616,16.53034682080925,0.0,1.0
0.001,1,L3,active_c1,1040,703,0.021153846153846155,0.9798076923076923,6.17923186344239,0.002844950213371266,1.0
0.001,1,L3,active_c2,1040,703,0.021153846153846155,0.9798076923076923,12.119487908961593,0.0,2.0
0.001,1,L3,active_c4,1040,703,0.021153846153846155,0.9798076923076923,23.399715504978662,0.0,4.0
0.001,1,L3,active_c8,1040,703,0.021153846153846155,0.9798076923076923,43.1778093883357,0.0,8.0
0.001,1,L3,adaptive_deg,1040,703,0.021153846153846155,0.9798076923076923,10.819345661450924,0.0,1.8136557610241821
0.001,1,L3,router1hop,1040,703,0.021153846153846155,0.9798076923076923,16.633001422475107,0.0,1.0
0.001,2,L3,active_c1,1042,701,0.013435700575815739,0.9865642994241842,6.239657631954351,0.0,1.0
0.001,2,L3,active_c2,1042,701,0.013435700575815739,0.9865642994241842,12.353780313837374,0.0,2.0
0.001,2,L3,active_c4,1042,701,0.013435700575815739,0.9865642994241842,23.398002853067048,0.0,4.0
0.001,2,L3,active_c8,1042,701,0.013435700575815739,0.9865642994241842,42.76462196861626,0.0,8.0
0.001,2,L3,adaptive_deg,1042,701,0.013435700575815739,0.9865642994241842,10.975748930099858,0.0,1.7988587731811698
0.001,2,L3,router1hop,1042,701,0.013435700575815739,0.9865642994241842,16.53922967189729,0.0,1.0
0.002,0,L3,active_c1,2016,1044,0.013888888888888888,0.9861111111111112,9.227969348659004,0.0,1.0
0.002,0,L3,active_c2,2016,1044,0.013888888888888888,0.9861111111111112,18.091954022988507,0.0,2.0
0.002,0,L3,active_c4,2016,1044,0.013888888888888888,0.9861111111111112,34.82375478927203,0.0,4.0
0.002,0,L3,active_c8,2016,1044,0.013888888888888888,0.9861111111111112,63.61302681992337,0.0,8.0
0.002,0,L3,adaptive_deg,2016,1044,0.013888888888888888,0.9861111111111112,11.670498084291188,0.0,1.3017241379310345
0.002,0,L3,router1hop,2016,1044,0.013888888888888888,0.9861111111111112,16.558429118773947,0.0,1.0
0.002,1,L3,active_c1,2017,1037,0.03173029251363411,0.969261279127417,9.257473481195756,0.0,1.0
0.002,1,L3,active_c2,2017,1037,0.03173029251363411,0.969261279127417,18.084860173577628,0.0,2.0
0.002,1,L3,active_c4,2017,1037,0.03173029251363411,0.969261279127417,34.30472516875603,0.0,4.0
0.002,1,L3,active_c8,2017,1037,0.03173029251363411,0.969261279127417,62.00385728061716,0.0,8.0
0.002,1,L3,adaptive_deg,2017,1037,0.03173029251363411,0.969261279127417,11.741562198649952,0.0,1.3037608486017358
0.002,1,L3,router1hop,2017,1037,0.03173029251363411,0.969261279127417,16.507232401157186,0.0,1.0
0.002,2,L3,active_c1,2017,1054,0.027764005949429845,0.9737233515121467,9.324478178368121,0.0,1.0
0.002,2,L3,active_c2,2017,1054,0.027764005949429845,0.9737233515121467,18.38519924098672,0.0,2.0
