method,selectivity,parameter,matched_level,recall,recall_p10,distance_computations,portal_computations,payload_computations,adjacency_reads,visited_cells,summary_checks_query,child_reads_query,latency_ms,valid_count,materialization_ms,materialization_summary_checks
uniform_b8_active,0.001,128,3,0.9966666666666666,1.0,513.3333333333334,308.3333333333333,205.0,919.0666666666667,308.3333333333333,0.0,0.0,5.124918433331989,1040.6666666666667,3.9459836666632477,11667.333333333334
uniform_b8_active,0.001,256,3,1.0,1.0,743.6333333333333,352.8333333333333,390.8,1740.2333333333333,352.8333333333333,0.0,0.0,7.312985033333537,1040.6666666666667,3.9459836666632477,11667.333333333334
uniform_b8_router,0.001,32,3,0.5399999999999999,0.3,435.53333333333336,406.4,29.133333333333333,593.0666666666667,406.4,0.0,0.0,1.880046000000372,1040.6666666666667,0.0,0.0
uniform_b8_router,0.001,64,3,0.8,0.6,659.0666666666667,600.8666666666667,58.2,1130.1333333333334,600.8666666666667,0.0,0.0,3.370096266669975,1040.6666666666667,0.0,0.0
uniform_b8_router,0.001,128,3,0.9366666666666668,0.79,900.5666666666667,797.4333333333333,103.13333333333334,2230.9666666666667,797.4333333333333,0.0,0.0,6.186249399998663,1040.6666666666667,0.0,0.0
uniform_b8_router,0.001,256,3,0.9933333333333334,1.0,1123.7,939.1,184.6,4414.733333333334,939.1,0.0,0.0,10.24560116666938,1040.6666666666667,0.0,0.0
capacity_b8,0.002,32,3,0.7466666666666666,0.5,417.56666666666666,335.43333333333334,82.13333333333334,636.9333333333333,335.43333333333334,0.0,0.0,1.7783136333396972,2016.6666666666667,22.680008666659052,385721.3333333333
capacity_b8,0.002,64,3,0.9,0.79,583.0333333333333,429.53333333333336,153.5,1212.8666666666666,429.53333333333336,0.0,0.0,3.1558718000023114,2016.6666666666667,22.680008666659052,385721.3333333333
capacity_b8,0.002,128,3,0.9733333333333333,0.9,779.4666666666667,496.53333333333336,282.93333333333334,2305.733333333333,496.53333333333336,0.0,0.0,4.9541296666670105,2016.6666666666667,22.680008666659052,385721.3333333333
capacity_b8,0.002,256,3,1.0,1.0,1062.6666666666667,534.1666666666666,528.5,4386.2,534.1666666666666,0.0,0.0,6.9480885333319975,2016.6666666666667,22.680008666659052,385721.3333333333
hybrid_g4_c4_u4,0.002,32,3,0.7799999999999999,0.6,421.56666666666666,342.03333333333336,79.53333333333333,787.2333333333333,342.03333333333336,0.0,0.0,1.7583381666668174,2016.6666666666667,40.84427233332614,385721.3333333333
hybrid_g4_c4_u4,0.002,64,3,0.9,0.79,584.1666666666666,432.0,152.16666666666666,1525.4333333333334,432.0,0.0,0.0,3.1515892333298248,2016.6666666666667,40.84427233332614,385721.3333333333
hybrid_g4_c4_u4,0.002,128,3,0.9733333333333333,0.9,782.5,499.4,283.1,2938.8333333333335,499.4,0.0,0.0,4.947486466668731,2016.6666666666667,40.84427233332614,385721.3333333333
hybrid_g4_c4_u4,0.002,256,3,1.0,1.0,1063.5,535.0,528.5,5608.9,535.0,0.0,0.0,7.023740733333739,2016.6666666666667,40.84427233332614,385721.3333333333
postfilter_hnsw,0.002,500,3,0.08333333333333333,0.0,,,0.8333333333333334,,,0.0,0.0,30.44778066666633,2016.6666666666667,0.0,0.0
postfilter_hnsw,0.002,1000,3,0.14666666666666667,0.0,,,1.4666666666666666,,,0.0,0.0,30.44778066666633,2016.6666666666667,0.0,0.0
postfilter_hnsw,0.002,2000,3,0.36666666666666664,0.1,,,3.6666666666666665,,,0.0,0.0,30.44778066666633,2016.6666666666667,0.0,0.0
postfilter_hnsw,0.002,4000,3,0.77,0.39000000000000007,,,7.7,,,0.0,0.0,30.44778066666633,2016.6666666666667,0.0,0.0
postfilter_hnsw,0.002,8000,3,0.9966666666666666,1.0,,,10.0,,,0.0,0.0,30.44778066666633,2016.6666666666667,0.0,0.0
postfilter_hnsw,0.002,16000,3,0.9966666666666666,1.0,,,10.0,,,0.0,0.0,30.44778066666633,2016.6666666666667,0.0,0.0
prefilter_exact,0.002,0,3,1.0,1.0,2016.6666666666667,0.0,2016.6666666666667,0.0,0.0,0.0,0.0,0.24923606666694317,2016.6666666666667,0.0,0.0
topdown_summary_hybrid,0.002,32,3,0.7799999999999999,0.6,663.5333333333333,584.0666666666667,79.46666666666667,782.2666666666667,337.06666666666666,321.5,111.5,1.8772568666728755,2016.6666666666667,40.84427233332614,385721.3333333333
topdown_summary_hybrid,0.002,64,3,0.9,0.79,837.9666666666667,685.7333333333333,152.23333333333332,1521.6666666666667,428.93333333333334,351.3666666666667,141.36666666666667,3.2848049666663806,2016.6666666666667,40.84427233332614,385721.3333333333
topdown_summary_hybrid,0.002,128,3,0.9700000000000001,0.9,1051.2,768.1,283.1,2935.9666666666667,496.53333333333336,405.2,195.2,5.118354799995473,2016.6666666666667,40.84427233332614,385721.3333333333
topdown_summary_hybrid,0.002,256,3,0.9966666666666666,1.0,1328.4,799.8666666666667,528.5333333333333,5606.633333333333,532.6666666666666,454.3,244.3,7.075066200000417,2016.6666666666667,40.84427233332614,385721.3333333333
uniform_b8_active,0.002,32,3,0.6566666666666666,0.4,319.56666666666666,241.83333333333334,77.73333333333333,360.53333333333336,241.83333333333334,0.0,0.0,1.847959799996109,2016.6666666666667,5.870061666674549,17283.333333333332
uniform_b8_active,0.002,64,3,0.8533333333333334,0.69,500.26666666666665,350.8333333333333,149.43333333333334,666.7333333333333,350.8333333333333,0.0,0.0,3.2773217999978974,2016.6666666666667,5.870061666674549,17283.333333333332
uniform_b8_active,0.002,128,3,0.9700000000000001,0.9,735.7333333333333,453.2,282.53333333333336,1301.2,453.2,0.0,0.0,5.605245433332584,2016.6666666666667,5.870061666674549,17283.333333333332
uniform_b8_active,0.002,256,3,1.0,1.0,1048.8333333333333,520.1,528.7333333333333,2542.5,520.1,0.0,0.0,8.431072433330655,2016.6666666666667,5.870061666674549,17283.333333333332
uniform_b8_router,0.002,32,3,0.5766666666666667,0.4,462.0,406.4,55.6,593.0666666666667,406.4,0.0,0.0,1.9093209000014137,2016.6666666666667,0.0,0.0
uniform_b8_router,0.002,64,3,0.7633333333333333,0.59,711.8333333333334,600.8666666666667,110.96666666666667,1130.1333333333334,600.8666666666667,0.0,0.0,3.4290136333377554,2016.6666666666667,0.0,0.0
uniform_b8_router,0.002,128,3,0.94,0.8,999.0,797.4333333333333,201.56666666666666,2230.9666666666667,797.4333333333333,0.0,0.0,6.187990833330066,2016.6666666666667,0.0,0.0
uniform_b8_router,0.002,256,3,0.99,0.99,1294.3,939.1,355.2,4414.733333333334,939.1,0.0,0.0,10.178335666669605,2016.6666666666667,0.0,0.0
capacity_b8,0.003,32,3,0.76,0.6,476.3666666666667,367.93333333333334,108.43333333333334,676.2666666666667,367.93333333333334,0.0,0.0,1.7966591666682536,2895.3333333333335,26.739399999987274,447508.6666666667
capacity_b8,0.003,64,3,0.9133333333333334,0.8,679.7333333333333,481.53333333333336,198.2,1261.7666666666667,481.53333333333336,0.0,0.0,3.2193709333332285,2895.3333333333335,26.739399999987274,447508.6666666667
capacity_b8,0.003,128,3,0.9866666666666667,0.9,932.9333333333333,569.4333333333333,363.5,2382.233333333333,569.4333333333333,0.0,0.0,5.313817433329859,2895.3333333333335,26.739399999987274,447508.6666666667
capacity_b8,0.003,256,3,0.9966666666666666,1.0,1289.8333333333333,623.9333333333333,665.9,4504.3,623.9333333333333,0.0,0.0,7.554212533332816,2895.3333333333335,26.739399999987274,447508.6666666667
hybrid_g4_c4_u4,0.003,32,3,0.7833333333333333,0.6,480.6666666666667,375.23333333333335,105.43333333333334,835.4333333333333,375.23333333333335,0.0,0.0,1.7604921000004954,2895.3333333333335,48.01077933332939,447508.6666666667
hybrid_g4_c4_u4,0.003,64,3,0.9266666666666666,0.8,680.1,482.9,197.2,1602.1,482.9,0.0,0.0,3.2196937333310416,2895.3333333333335,48.01077933332939,447508.6666666667
hybrid_g4_c4_u4,0.003,128,3,0.9866666666666667,0.9,933.4333333333333,570.1333333333333,363.3,3068.733333333333,570.1333333333333,0.0,0.0,5.271751766668824,2895.3333333333335,48.01077933332939,447508.6666666667
hybrid_g4_c4_u4,0.003,256,3,0.9966666666666666,1.0,1289.1333333333334,623.3,665.8333333333334,5843.433333333333,623.3,0.0,0.0,7.589461666667792,2895.3333333333335,48.01077933332939,447508.6666666667
postfilter_hnsw,0.003,500,3,0.15666666666666668,0.0,,,1.5666666666666667,,,0.0,0.0,30.44778066666633,2895.3333333333335,0.0,0.0
postfilter_hnsw,0.003,1000,3,0.30333333333333334,0.19000000000000006,,,3.033333333333333,,,0.0,0.0,30.44778066666633,2895.3333333333335,0.0,0.0
postfilter_hnsw,0.003,2000,3,0.59,0.4,,,5.9,,,0.0,0.0,30.44778066666633,2895.3333333333335,0.0,0.0
postfilter_hnsw,0.003,4000,3,0.9833333333333333,0.9,,,9.833333333333334,,,0.0,0.0,30.44778066666633,2895.3333333333335,0.0,0.0
postfilter_hnsw,0.003,8000,3,0.9966666666666666,1.0,,,10.0,,,0.0,0.0,30.44778066666633,2895.3333333333335,0.0,0.0
postfilter_hnsw,0.003,16000,3,0.9966666666666666,1.0,,,10.0,,,0.0,0.0,30.44778066666633,2895.3333333333335,0.0,0.0
prefilter_exact,0.003,0,3,1.0,1.0,2895.3333333333335,0.0,2895.3333333333335,0.0,0.0,0.0,0.0,0.3313250000047674,2895.3333333333335,0.0,0.0
topdown_summary_hybrid,0.003,32,3,0.7833333333333333,0.6,743.0666666666667,637.5,105.56666666666666,833.3,371.96666666666664,323.4,113.4,1.896879199998125,2895.3333333333335,48.01077933332939,447508.6666666667
topdown_summary_hybrid,0.003,64,3,0.9266666666666666,0.8,955.1666666666666,758.0,197.16666666666666,1601.6,480.26666666666665,352.23333333333335,142.23333333333332,3.342911666669579,2895.3333333333335,48.01077933332939,447508.6666666667
topdown_summary_hybrid,0.003,128,3,0.9866666666666667,0.9,1228.1333333333334,864.8,363.3333333333333,3068.4333333333334,568.0,405.06666666666666,195.06666666666666,5.43678543333499,2895.3333333333335,48.01077933332939,447508.6666666667
topdown_summary_hybrid,0.003,256,3,0.9966666666666666,1.0,1583.3333333333333,917.4333333333333,665.9,5842.733333333334,621.4666666666667,452.1,242.1,7.697960299999333,2895.3333333333335,48.01077933332939,447508.6666666667
uniform_b8_active,0.003,32,3,0.6233333333333333,0.39000000000000007,379.93333333333334,279.2,100.73333333333333,420.3,279.2,0.0,0.0,1.861956033332035,2895.3333333333335,6.882657000005565,20181.333333333332
uniform_b8_active,0.003,64,3,0.83,0.6,591.4,399.03333333333336,192.36666666666667,775.4,399.03333333333336,0.0,0.0,3.2976808999971277,2895.3333333333335,6.882657000005565,20181.333333333332
uniform_b8_active,0.003,128,3,0.98,0.9,885.1333333333333,522.7666666666667,362.3666666666667,1514.1333333333334,522.7666666666667,0.0,0.0,5.843440366671378,2895.3333333333335,6.882657000005565,20181.333333333332
uniform_b8_active,0.003,256,3,0.9966666666666666,1.0,1272.8333333333333,606.6,666.2333333333333,2975.733333333333,606.6,0.0,0.0,8.880114400002034,2895.3333333333335,6.882657000005565,20181.333333333332
uniform_b8_router,0.003,32,3,0.55,0.39000000000000007,490.4,406.4,84.0,593.0666666666667,406.4,0.0,0.0,1.8974164333343424,2895.3333333333335,0.0,0.0
uniform_b8_router,0.003,64,3,0.7933333333333333,0.59,759.6333333333333,600.8666666666667,158.76666666666668,1130.1333333333334,600.8666666666667,0.0,0.0,3.4288348666630477,2895.3333333333335,0.0,0.0
uniform_b8_router,0.003,128,3,0.9666666666666667,0.9,1086.6666666666667,797.4333333333333,289.23333333333335,2230.9666666666667,797.4333333333333,0.0,0.0,6.2437959333332556,2895.3333333333335,0.0,0.0
uniform_b8_router,0.003,256,3,0.99,0.99,1446.8,939.1,507.7,4414.733333333334,939.1,0.0,0.0,10.13532576666781,2895.3333333333335,0.0,0.0
capacity_b8,0.005,32,3,0.7533333333333334,0.5,580.5,413.6333333333333,166.86666666666667,720.2333333333333,413.6333333333333,0.0,0.0,1.8199607000013884,4936.666666666667,32.03395000000834,537567.0
capacity_b8,0.005,64,3,0.91,0.79,854.6,550.5333333333333,304.06666666666666,1328.2333333333333,550.5333333333333,0.0,0.0,3.2718489333310194,4936.666666666667,32.03395000000834,537567.0
capacity_b8,0.005,128,3,0.99,0.99,1211.3666666666666,665.2666666666667,546.1,2482.6666666666665,665.2666666666667,0.0,0.0,5.5171785666649,4936.666666666667,32.03395000000834,537567.0
capacity_b8,0.005,256,3,1.0,1.0,1717.1,738.8333333333334,978.2666666666667,4658.233333333334,738.8333333333334,0.0,0.0,8.17230243333332,4936.666666666667,32.03395000000834,537567.0
hybrid_g4_c4_u4,0.005,32,3,0.7933333333333333,0.59,583.8,420.93333333333334,162.86666666666667,885.4,420.93333333333334,0.0,0.0,1.7703195666655347,4936.666666666667,58.64893033334321,537567.0
hybrid_g4_c4_u4,0.005,64,3,0.9333333333333333,0.89,854.6,554.6666666666666,299.93333333333334,1690.9666666666667,554.6666666666666,0.0,0.0,3.2848796333306987,4936.666666666667,58.64893033334321,537567.0
hybrid_g4_c4_u4,0.005,128,3,0.99,0.99,1213.0333333333333,667.2666666666667,545.7666666666667,3226.733333333333,667.2666666666667,0.0,0.0,5.571037266669047,4936.666666666667,58.64893033334321,537567.0
hybrid_g4_c4_u4,0.005,256,3,1.0,1.0,1718.2,740.0666666666667,978.1333333333333,6143.7,740.0666666666667,0.0,0.0,8.297952700002043,4936.666666666667,58.64893033334321,537567.0
postfilter_hnsw,0.005,500,3,0.29333333333333333,0.09000000000000004,,,2.933333333333333,,,0.0,0.0,30.44778066666633,4936.666666666667,0.0,0.0
postfilter_hnsw,0.005,1000,3,0.48666666666666664,0.2,,,4.866666666666666,,,0.0,0.0,30.44778066666633,4936.666666666667,0.0,0.0
postfilter_hnsw,0.005,2000,3,0.88,0.69,,,8.8,,,0.0,0.0,30.44778066666633,4936.666666666667,0.0,0.0
postfilter_hnsw,0.005,4000,3,0.9933333333333334,1.0,,,9.933333333333334,,,0.0,0.0,30.44778066666633,4936.666666666667,0.0,0.0
postfilter_hnsw,0.005,8000,3,1.0,1.0,,,10.0,,,0.0,0.0,30.44778066666633,4936.666666666667,0.0,0.0
postfilter_hnsw,0.005,16000,3,1.0,1.0,,,10.0,,,0.0,0.0,30.44778066666633,4936.666666666667,0.0,0.0
prefilter_exact,0.005,0,3,1.0,1.0,4936.666666666667,0.0,4936.666666666667,0.0,0.0,0.0,0.0,0.5524282000010317,4936.666666666667,0.0,0.0
topdown_summary_hybrid,0.005,32,3,0.7933333333333333,0.59,867.6333333333333,704.6666666666666,162.96666666666667,885.6666666666666,418.53333333333336,321.5,111.5,1.91307733333493,4936.666666666667,58.64893033334321,537567.0
topdown_summary_hybrid,0.005,64,3,0.9333333333333333,0.89,1154.0333333333333,854.1333333333333,299.9,1691.1333333333334,552.4,350.93333333333334,140.93333333333334,3.4341919666701415,4936.666666666667,58.64893033334321,537567.0
topdown_summary_hybrid,0.005,128,3,0.99,0.99,1537.9333333333334,992.3333333333334,545.6,3226.633333333333,665.2333333333333,403.6333333333333,193.63333333333333,5.7264307999920065,4936.666666666667,58.64893033334321,537567.0
topdown_summary_hybrid,0.005,256,3,1.0,1.0,2048.0333333333333,1069.9,978.1333333333333,6143.7,738.0333333333333,451.2,241.2,8.456187766666782,4936.666666666667,58.64893033334321,537567.0
uniform_b8_active,0.005,32,3,0.6566666666666666,0.39000000000000007,488.56666666666666,330.6666666666667,157.9,488.23333333333335,330.6666666666667,0.0,0.0,1.861992900001989,4936.666666666667,8.433167666671201,24473.0
uniform_b8_active,0.005,64,3,0.8566666666666667,0.6,773.1666666666666,478.8,294.3666666666667,918.3666666666667,478.8,0.0,0.0,3.4179463666655843,4936.666666666667,8.433167666671201,24473.0
uniform_b8_active,0.005,128,3,0.9833333333333333,0.9,1167.5333333333333,621.6,545.9333333333333,1795.3666666666666,621.6,0.0,0.0,5.997378933333645,4936.666666666667,8.433167666671201,24473.0
uniform_b8_active,0.005,256,3,1.0,1.0,1701.3333333333333,723.0666666666667,978.2666666666667,3548.5666666666666,723.0666666666667,0.0,0.0,9.411222766667038,4936.666666666667,8.433167666671201,24473.0
uniform_b8_router,0.005,32,3,0.64,0.3,550.3,406.4,143.9,593.0666666666667,406.4,0.0,0.0,1.9090254000028988,4936.666666666667,0.0,0.0
uniform_b8_router,0.005,64,3,0.8466666666666666,0.6,872.4666666666667,600.8666666666667,271.6,1130.1333333333334,600.8666666666667,0.0,0.0,3.5098257999995517,4936.666666666667,0.0,0.0
uniform_b8_router,0.005,128,3,0.98,0.9,1291.6666666666667,797.4333333333333,494.23333333333335,2230.9666666666667,797.4333333333333,0.0,0.0,6.266981333334343,4936.666666666667,0.0,0.0
uniform_b8_router,0.005,256,3,1.0,1.0,1797.5,939.1,858.4,4414.733333333334,939.1,0.0,0.0,10.218135233333214,4936.666666666667,0.0,0.0
capacity_b8,0.007,32,2,0.5700000000000001,0.39000000000000007,545.9333333333333,491.26666666666665,54.666666666666664,691.8333333333334,491.26666666666665,0.0,0.0,1.95806416666926,7114.666666666667,108.05421133333464,1959376.6666666667
capacity_b8,0.007,64,2,0.76,0.59,840.1666666666666,734.8,105.36666666666666,1268.2,734.8,0.0,0.0,3.4957950999995546,7114.666666666667,108.05421133333464,1959376.6666666667
capacity_b8,0.007,128,2,0.8966666666666666,0.7,1283.4,1077.8,205.6,2457.2,1077.8,0.0,0.0,6.492744866667029,7114.666666666667,108.05421133333464,1959376.6666666667
capacity_b8,0.007,256,2,0.98,0.9,1878.5333333333333,1478.2666666666667,400.26666666666665,4744.233333333334,1478.2666666666667,0.0,0.0,11.861014766663894,7114.666666666667,108.05421133333464,1959376.6666666667
hybrid_g4_c4_u4,0.007,32,2,0.6066666666666667,0.3,556.8333333333334,504.0,52.833333333333336,806.8666666666667,504.0,0.0,0.0,1.9187366666661394,7114.666666666667,194.4082136666623,1959376.6666666667
hybrid_g4_c4_u4,0.007,64,2,0.7799999999999999,0.6,857.5666666666667,753.7333333333333,103.83333333333333,1527.8333333333333,753.7333333333333,0.0,0.0,3.453992266669085,7114.666666666667,194.4082136666623,1959376.6666666667
hybrid_g4_c4_u4,0.007,128,2,0.8966666666666666,0.79,1302.3,1098.2,204.1,2984.4666666666667,1098.2,0.0,0.0,6.410858799998209,7114.666666666667,194.4082136666623,1959376.6666666667
hybrid_g4_c4_u4,0.007,256,2,0.98,0.9,1894.7,1495.0,399.7,5774.233333333334,1495.0,0.0,0.0,11.818036400002066,7114.666666666667,194.4082136666623,1959376.6666666667
postfilter_hnsw,0.007,500,2,0.33666666666666667,0.1,,,3.3666666666666667,,,0.0,0.0,30.44778066666633,7114.666666666667,0.0,0.0
