method,selectivity,mask_seed,query,parameter,level_name,recall,distance_computations,portal_computations,payload_computations,adjacency_reads,visited_cells,summary_checks_query,copy_lists_read,expanded_active_cells,avg_copies_per_expansion,active_edges_exposed,improving_edges,progress_fraction,geo_fallbacks,router_fallbacks,latency_ms,valid_count,theory_copies
postfilter_hnsw,0.002,2,5,2000,L3,0.0,,,0,,,0,0,0,0.0,0,0,0.0,0,0,31.2500259666668,2017,1
postfilter_hnsw,0.002,2,5,4000,L3,0.3,,,3,,,0,0,0,0.0,0,0,0.0,0,0,31.2500259666668,2017,1
postfilter_hnsw,0.002,2,5,8000,L3,1.0,,,10,,,0,0,0,0.0,0,0,0.0,0,0,31.2500259666668,2017,1
postfilter_hnsw,0.002,2,5,16000,L3,1.0,,,10,,,0,0,0,0.0,0,0,0.0,0,0,31.2500259666668,2017,1
fixed_c1,0.002,2,5,32,L3,0.3,306.0,240.0,66,659.0,240.0,659,34,34,1.0,339,34,0.10029498525073746,0,0,2.473112999979321,2017,1
fixed_c2,0.002,2,5,32,L3,0.4,405.0,342.0,63,1283.0,342.0,1283,66,33,2.0,665,46,0.06917293233082707,0,0,2.6624359999800618,2017,1
theory_c,0.002,2,5,32,L3,0.3,306.0,240.0,66,659.0,240.0,659,34,34,1.0,339,34,0.10029498525073746,0,0,2.3019660000045405,2017,1
degree4,0.002,2,5,32,L3,0.3,306.0,240.0,66,659.0,240.0,659,34,34,1.0,339,34,0.10029498525073746,0,0,2.2732840000116994,2017,1
degree8,0.002,2,5,32,L3,0.4,324.0,262.0,62,752.0,262.0,752,39,34,1.1470588235294117,398,32,0.08040201005025126,0,0,2.3166189999699327,2017,1
progress4,0.002,2,5,32,L3,0.2,331.0,269.0,62,812.0,269.0,812,33,33,1.0,446,33,0.07399103139013453,19,0,3.2985990000042875,2017,1
progress8,0.002,2,5,32,L3,0.4,338.0,275.0,63,897.0,275.0,897,38,33,1.1515151515151516,485,34,0.07010309278350516,19,0,3.1861810000179958,2017,1
progress4_router,0.002,2,5,32,L3,0.3,419.0,366.0,53,1030.0,272.0,1030,25,25,1.0,436,18,0.04128440366972477,18,13,3.7925990000076126,2017,1
fixed_c1,0.002,2,5,64,L3,0.6,485.0,348.0,137,1222.0,348.0,1222,65,65,1.0,634,78,0.12302839116719243,0,0,4.348389999989877,2017,1
fixed_c2,0.002,2,5,64,L3,0.7,576.0,442.0,134,2436.0,442.0,2436,130,65,2.0,1245,127,0.10200803212851406,0,0,4.8388250000073185,2017,1
theory_c,0.002,2,5,64,L3,0.6,485.0,348.0,137,1222.0,348.0,1222,65,65,1.0,634,78,0.12302839116719243,0,0,4.120990999979313,2017,1
degree4,0.002,2,5,64,L3,0.6,485.0,348.0,137,1222.0,348.0,1222,65,65,1.0,634,78,0.12302839116719243,0,0,4.090495000014016,2017,1
degree8,0.002,2,5,64,L3,0.7,499.0,365.0,134,1441.0,365.0,1441,79,65,1.2153846153846153,737,88,0.11940298507462686,0,0,4.309382000002415,2017,1
progress4,0.002,2,5,64,L3,0.6,501.0,365.0,136,1433.0,365.0,1433,66,65,1.0153846153846153,770,79,0.1025974025974026,24,0,5.507637000022214,2017,1
progress8,0.002,2,5,64,L3,0.7,513.0,379.0,134,1660.0,379.0,1660,80,65,1.2307692307692308,868,92,0.10599078341013825,23,0,5.47151300000337,2017,1
progress4_router,0.002,2,5,64,L3,0.5,586.0,489.0,97,1749.0,379.0,1749,50,49,1.0204081632653061,786,54,0.06870229007633588,24,16,6.18944900003271,2017,1
fixed_c1,0.002,2,5,128,L3,0.9,710.0,449.0,261,2321.0,449.0,2321,130,130,1.0,1228,221,0.17996742671009772,0,0,7.5217540000096506,2017,1
fixed_c2,0.002,2,5,128,L3,0.9,757.0,506.0,251,4643.0,506.0,4643,256,128,2.0,2406,404,0.16791354945968412,0,0,8.047269999991613,2017,1
theory_c,0.002,2,5,128,L3,0.9,710.0,449.0,261,2321.0,449.0,2321,130,130,1.0,1228,221,0.17996742671009772,0,0,7.550667000003841,2017,1
