selectivity,level_name,cell_size_B,tau_sB,active_probability_approx,path_hops,path_delta,log_H_over_delta,theory_copy_bound,degree_target4,degree_target8
0.001,L3,509.1649694501018,0.5091649694501018,0.3990027796204787,20,0.01,7.600902459542082,2,4,8
0.002,L3,509.1649694501018,1.0183299389002036,0.638802341096089,20,0.01,7.600902459542082,1,4,8
0.003,L3,509.1649694501018,1.5274949083503055,0.7829212109911591,20,0.01,7.600902459542082,1,4,8
0.005,L3,509.1649694501018,2.545824847250509,0.9215916496123107,20,0.01,7.600902459542082,1,4,8
0.007,L2,63.885517153261354,0.4471986200728295,0.3605831053686912,20,0.01,7.600902459542082,3,4,8
0.01,L2,63.885517153261354,0.6388551715326135,0.47210357090414934,20,0.01,7.600902459542082,2,4,8
0.02,L2,63.885517153261354,1.277710343065227,0.7213253601478495,20,0.01,7.600902459542082,1,4,8
