level_name,n_cells,sampling_rate,mean_cell_size,assignment_seconds,contract_seconds,geo_seconds,full_edges,copy1_edges,copy2_edge_sum,copy4_edge_sum,cell_mean,cell_median,cell_p90,cell_p99,cell_max
L2,15653,0.015653,63.885517153261354,20.50848946100001,1.715840266000015,1.2799578599999961,4705588,246698,493580,987382,63.885517153261354,48.0,133.0,254.0,590
L3,1964,0.001964,509.1649694501018,12.654476055999993,0.8986519839999971,0.14848635300000979,662310,31062,62116,124204,509.1649694501018,372.0,1085.8000000000002,2176.379999999992,4772
