selectivity,level_name_theory,cell_size_B,tau_sB,active_probability_approx,path_hops,path_delta,log_H_over_delta,theory_copy_bound,degree_target4,degree_target8,method,level_name_observed,recall,distance_computations,adjacency_reads,avg_copies_per_expansion,progress_fraction,geo_fallbacks,router_fallbacks,summary_checks_query,latency_ms
0.001,L3,509.1649694501018,0.5091649694501018,0.3990027796204787,20,0.01,7.600902459542082,2,4,8,degree4,L3,0.9933333333333334,517.8,2405.9666666666667,1.0556908107235143,0.2529245739641426,0.0,0.0,2405.9666666666667,7.144428833337694
0.001,L3,509.1649694501018,0.5091649694501018,0.3990027796204787,20,0.01,7.600902459542082,2,4,8,fixed_c1,L3,0.99,514.6666666666666,2288.5,1.0,0.2533196453083564,0.0,0.0,2288.5,7.012332566669481
0.001,L3,509.1649694501018,0.5091649694501018,0.3990027796204787,20,0.01,7.600902459542082,2,4,8,fixed_c2,L3,1.0,547.8,4599.266666666666,2.0,0.2455290494620959,0.0,0.0,4599.266666666666,7.582388533330686
0.001,L3,509.1649694501018,0.5091649694501018,0.3990027796204787,20,0.01,7.600902459542082,2,4,8,progress4,L3,0.9933333333333334,519.7,2643.5,1.060877155386603,0.2618385965518954,28.6,0.0,2643.5,8.336183000003908
0.001,L3,509.1649694501018,0.5091649694501018,0.3990027796204787,20,0.01,7.600902459542082,2,4,8,theory_c,L3,1.0,547.8,4599.266666666666,2.0,0.2455290494620959,0.0,0.0,4599.266666666666,7.566729600006283
0.002,L3,509.1649694501018,1.0183299389002036,0.638802341096089,20,0.01,7.600902459542082,1,4,8,degree4,L3,0.9666666666666668,738.0666666666667,2306.5666666666666,1.0049338787020472,0.1855480968341368,0.0,0.0,2306.5666666666666,7.520093933334238
0.002,L3,509.1649694501018,1.0183299389002036,0.638802341096089,20,0.01,7.600902459542082,1,4,8,fixed_c1,L3,0.9666666666666668,737.4333333333333,2295.5666666666666,1.0,0.185420622205714,0.0,0.0,2295.5666666666666,7.486873666667293
0.002,L3,509.1649694501018,1.0183299389002036,0.638802341096089,20,0.01,7.600902459542082,1,4,8,fixed_c2,L3,0.9733333333333332,788.4333333333333,4600.3,2.0,0.1804230278840363,0.0,0.0,4600.3,8.156311900002796
0.002,L3,509.1649694501018,1.0183299389002036,0.638802341096089,20,0.01,7.600902459542082,1,4,8,progress4,L3,0.97,740.4333333333333,2541.3,1.0057130789107531,0.1975270150905927,29.166666666666668,0.0,2541.3,8.827671600003365
0.002,L3,509.1649694501018,1.0183299389002036,0.638802341096089,20,0.01,7.600902459542082,1,4,8,theory_c,L3,0.9666666666666668,737.4333333333333,2295.5666666666666,1.0,0.185420622205714,0.0,0.0,2295.5666666666666,7.508490966665704
0.003,L3,509.1649694501018,1.5274949083503055,0.7829212109911591,20,0.01,7.600902459542082,1,4,8,degree4,L3,0.9633333333333332,890.7666666666667,2273.733333333333,1.0002604166666669,0.1629140311063616,0.0,0.0,2273.733333333333,7.683425166667727
0.003,L3,509.1649694501018,1.5274949083503055,0.7829212109911591,20,0.01,7.600902459542082,1,4,8,fixed_c1,L3,0.9633333333333332,890.7666666666667,2273.233333333333,1.0,0.1628457076790094,0.0,0.0,2273.233333333333,7.692663199997203
0.003,L3,509.1649694501018,1.5274949083503055,0.7829212109911591,20,0.01,7.600902459542082,1,4,8,fixed_c2,L3,0.9866666666666668,951.6333333333332,4566.8,2.0,0.160429736398332,0.0,0.0,4566.8,8.43548619999884
0.003,L3,509.1649694501018,1.5274949083503055,0.7829212109911591,20,0.01,7.600902459542082,1,4,8,progress4,L3,0.9866666666666668,894.2333333333333,2507.1666666666665,1.0002604166666669,0.1770556844066222,29.23333333333333,0.0,2507.1666666666665,9.03556779999993
0.003,L3,509.1649694501018,1.5274949083503055,0.7829212109911591,20,0.01,7.600902459542082,1,4,8,theory_c,L3,0.9633333333333332,890.7666666666667,2273.233333333333,1.0,0.1628457076790094,0.0,0.0,2273.233333333333,7.69639273333856
0.005,L3,509.1649694501018,2.545824847250509,0.9215916496123108,20,0.01,7.600902459542082,1,4,8,degree4,L3,0.98,1175.5,2262.633333333333,1.0002604166666669,0.141270583687316,0.0,0.0,2262.633333333333,7.95383656667165
0.005,L3,509.1649694501018,2.545824847250509,0.9215916496123108,20,0.01,7.600902459542082,1,4,8,fixed_c1,L3,0.98,1175.5,2262.3,1.0,0.1412911033400191,0.0,0.0,2262.3,7.895941499998571
0.005,L3,509.1649694501018,2.545824847250509,0.9215916496123108,20,0.01,7.600902459542082,1,4,8,fixed_c2,L3,0.99,1247.9333333333334,4547.233333333334,2.0,0.1396512392254768,0.0,0.0,4547.233333333334,8.732444566670475
0.005,L3,509.1649694501018,2.545824847250509,0.9215916496123108,20,0.01,7.600902459542082,1,4,8,progress4,L3,0.99,1177.5333333333333,2494.9,1.0002604166666669,0.1544628722906089,29.366666666666667,0.0,2494.9,9.250646233329954
0.005,L3,509.1649694501018,2.545824847250509,0.9215916496123108,20,0.01,7.600902459542082,1,4,8,theory_c,L3,0.98,1175.5,2262.3,1.0,0.1412911033400191,0.0,0.0,2262.3,7.891149666673414
0.007,L2,63.88551715326136,0.4471986200728295,0.3605831053686912,20,0.01,7.600902459542082,3,4,8,degree4,L2,0.8133333333333332,882.7,2689.3,1.0385016926749857,0.1476302225129159,0.0,0.0,2689.3,8.281156966666003
0.007,L2,63.88551715326136,0.4471986200728295,0.3605831053686912,20,0.01,7.600902459542082,3,4,8,fixed_c1,L2,0.8,872.7,2615.1666666666665,1.0,0.1503548609989296,0.0,0.0,2615.1666666666665,8.21714223333269
0.007,L2,63.88551715326136,0.4471986200728295,0.3605831053686912,20,0.01,7.600902459542082,3,4,8,fixed_c2,L2,0.8933333333333333,1157.8666666666666,5135.833333333333,2.0,0.1240683887535101,0.0,0.0,5135.833333333333,9.496331266666402
0.007,L2,63.88551715326136,0.4471986200728295,0.3605831053686912,20,0.01,7.600902459542082,3,4,8,progress4,L2,0.8633333333333334,913.4666666666668,3067.4666666666667,1.0447852060686698,0.1539597629193551,47.8,0.0,3067.4666666666667,10.442032500003506
0.007,L2,63.88551715326136,0.4471986200728295,0.3605831053686912,20,0.01,7.600902459542082,3,4,8,theory_c,L2,0.9033333333333334,1336.3333333333333,7714.5,3.0,0.1189904852888845,0.0,0.0,7714.5,10.727554400000372
0.01,L2,63.88551715326136,0.6388551715326135,0.4721035709041493,20,0.01,7.600902459542082,2,4,8,degree4,L2,0.8366666666666667,1028.9,2557.6,1.0085040779350538,0.12807288134935,0.0,0.0,2557.6,8.29927603333734
0.01,L2,63.88551715326136,0.6388551715326135,0.4721035709041493,20,0.01,7.600902459542082,2,4,8,fixed_c1,L2,0.8366666666666667,1034.6666666666667,2563.6,1.0,0.1280088518608436,0.0,0.0,2563.6,8.422306333333532
0.01,L2,63.88551715326136,0.6388551715326135,0.4721035709041493,20,0.01,7.600902459542082,2,4,8,fixed_c2,L2,0.8766666666666667,1392.9666666666667,5056.7,2.0,0.1061327186229725,0.0,0.0,5056.7,9.669470499999496
0.01,L2,63.88551715326136,0.6388551715326135,0.4721035709041493,20,0.01,7.600902459542082,2,4,8,progress4,L2,0.8533333333333334,1062.5333333333333,2923.3,1.0105989710386512,0.1349518126219537,46.56666666666667,0.0,2923.3,10.477690600002155
0.01,L2,63.88551715326136,0.6388551715326135,0.4721035709041493,20,0.01,7.600902459542082,2,4,8,theory_c,L2,0.8766666666666667,1392.9666666666667,5056.7,2.0,0.1061327186229725,0.0,0.0,5056.7,9.593210266666574
0.02,L2,63.88551715326136,1.277710343065227,0.7213253601478495,20,0.01,7.600902459542082,1,4,8,degree4,L2,0.7833333333333333,1452.8666666666666,2514.5,1.000438896488828,0.0986026370495135,0.0,0.0,2514.5,8.52245446666681
