selectivity,method,level_name,recall,distance_computations,adjacency_reads,avg_copies_per_expansion,progress_fraction,geo_fallbacks,router_fallbacks,summary_checks_query,latency_ms
0.001,degree4,L3,0.9933333333333334,517.8,2405.9666666666667,1.0556908107235143,0.2529245739641426,0.0,0.0,2405.9666666666667,7.144428833337694
0.001,degree8,L3,1.0,540.0666666666667,3816.533333333333,1.6790859173126615,0.2492092109928896,0.0,0.0,3816.533333333333,7.454772899996935
0.001,fixed_c1,L3,0.99,514.6666666666666,2288.5,1.0,0.2533196453083564,0.0,0.0,2288.5,7.012332566669481
0.001,fixed_c2,L3,1.0,547.8,4599.266666666666,2.0,0.2455290494620959,0.0,0.0,4599.266666666666,7.582388533330686
0.001,progress4,L3,0.9933333333333334,519.7,2643.5,1.060877155386603,0.2618385965518954,28.6,0.0,2643.5,8.336183000003908
0.001,progress4_router,L3,0.9966666666666666,573.7666666666667,2759.5,1.061235802645372,0.2220359833182136,28.433333333333334,7.333333333333333,2759.5,8.730964033335908
0.001,progress8,L3,1.0,540.1666666666666,3963.4,1.6790859173126615,0.2511528173582898,18.4,0.0,3963.4,8.388412966668094
0.001,theory_c,L3,1.0,547.8,4599.266666666666,2.0,0.2455290494620959,0.0,0.0,4599.266666666666,7.566729600006283
0.002,degree4,L3,0.9666666666666668,738.0666666666667,2306.5666666666666,1.0049338787020472,0.1855480968341368,0.0,0.0,2306.5666666666666,7.520093933334238
0.002,degree8,L3,0.9733333333333332,752.0,2703.5333333333333,1.1882420555058637,0.1844816253353846,0.0,0.0,2703.5333333333333,7.671793666665394
0.002,fixed_c1,L3,0.9666666666666668,737.4333333333333,2295.5666666666666,1.0,0.185420622205714,0.0,0.0,2295.5666666666666,7.486873666667293
0.002,fixed_c2,L3,0.9733333333333332,788.4333333333333,4600.3,2.0,0.1804230278840363,0.0,0.0,4600.3,8.156311900002796
0.002,progress4,L3,0.97,740.4333333333333,2541.3,1.0057130789107531,0.1975270150905927,29.166666666666668,0.0,2541.3,8.827671600003365
0.002,progress4_router,L3,0.9633333333333332,769.0333333333333,2640.633333333333,1.0056408961760892,0.1777764177218997,29.1,6.633333333333334,2640.633333333333,9.353096599998404
0.002,progress8,L3,0.9733333333333332,753.0666666666667,2911.233333333333,1.1900024224806205,0.1934664183923867,25.5,0.0,2911.233333333333,8.880464599996193
0.002,theory_c,L3,0.9666666666666668,737.4333333333333,2295.5666666666666,1.0,0.185420622205714,0.0,0.0,2295.5666666666666,7.508490966665704
0.003,degree4,L3,0.9633333333333332,890.7666666666667,2273.733333333333,1.0002604166666669,0.1629140311063616,0.0,0.0,2273.733333333333,7.683425166667727
0.003,degree8,L3,0.9766666666666668,897.4666666666667,2432.633333333333,1.0741564798250844,0.1636545806257883,0.0,0.0,2432.633333333333,7.761528499999788
0.003,fixed_c1,L3,0.9633333333333332,890.7666666666667,2273.233333333333,1.0,0.1628457076790094,0.0,0.0,2273.233333333333,7.692663199997203
0.003,fixed_c2,L3,0.9866666666666668,951.6333333333332,4566.8,2.0,0.160429736398332,0.0,0.0,4566.8,8.43548619999884
0.003,progress4,L3,0.9866666666666668,894.2333333333333,2507.1666666666665,1.0002604166666669,0.1770556844066222,29.23333333333333,0.0,2507.1666666666665,9.03556779999993
0.003,progress4_router,L3,0.9866666666666668,912.0,2601.2,1.0005583590318663,0.1662608639628478,29.266666666666666,5.6,2601.2,9.620205633331125
0.003,progress8,L3,0.9866666666666668,900.3,2651.333333333333,1.0744128900814949,0.1758083892155507,27.23333333333333,0.0,2651.333333333333,9.136168200001292
0.003,theory_c,L3,0.9633333333333332,890.7666666666667,2273.233333333333,1.0,0.1628457076790094,0.0,0.0,2273.233333333333,7.69639273333856
0.005,degree4,L3,0.98,1175.5,2262.633333333333,1.0002604166666669,0.141270583687316,0.0,0.0,2262.633333333333,7.95383656667165
0.005,degree8,L3,0.98,1176.9,2293.133333333333,1.0161337209302326,0.1410135034506202,0.0,0.0,2293.133333333333,7.88981880000108
0.005,fixed_c1,L3,0.98,1175.5,2262.3,1.0,0.1412911033400191,0.0,0.0,2262.3,7.895941499998571
0.005,fixed_c2,L3,0.99,1247.9333333333334,4547.233333333334,2.0,0.1396512392254768,0.0,0.0,4547.233333333334,8.732444566670475
0.005,progress4,L3,0.99,1177.5333333333333,2494.9,1.0002604166666669,0.1544628722906089,29.366666666666667,0.0,2494.9,9.250646233329954
0.005,progress4_router,L3,0.99,1186.0333333333333,2597.766666666667,1.000271002710027,0.1492795190858032,29.366666666666667,5.966666666666667,2597.766666666667,9.864507366668818
0.005,progress8,L3,0.99,1178.7333333333331,2523.4666666666667,1.0163981750645994,0.1538080969064633,28.8,0.0,2523.4666666666667,9.23228880000219
0.005,theory_c,L3,0.98,1175.5,2262.3,1.0,0.1412911033400191,0.0,0.0,2262.3,7.891149666673414
