method,selectivity,parameter,level_name,recall,recall_p10,distance_computations,portal_computations,payload_computations,adjacency_reads,visited_cells,summary_checks_query,copy_lists_read,expanded_active_cells,avg_copies_per_expansion,active_edges_exposed,improving_edges,progress_fraction,geo_fallbacks,router_fallbacks,latency_ms,valid_count,theory_copies
postfilter_hnsw,0.001,8000,L3,0.7266666666666667,0.49000000000000005,,,7.3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2500259666668,1040.6666666666667,2.0
postfilter_hnsw,0.001,16000,L3,0.9966666666666666,1.0,,,10.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2500259666668,1040.6666666666667,2.0
prefilter_exact,0.001,0,L3,1.0,1.0,1040.6666666666667,0.0,1040.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19116629999587076,1040.6666666666667,2.0
progress4,0.001,32,L3,0.7866666666666667,0.6,231.1,174.53333333333333,56.56666666666667,739.9666666666667,174.53333333333333,739.9666666666667,34.0,32.3,1.0528112002376708,317.46666666666664,45.86666666666667,0.14575745683054817,16.5,0.0,2.8709668333296654,1040.6666666666667,2.0
progress4,0.001,64,L3,0.9233333333333333,0.8,357.6666666666667,249.83333333333334,107.83333333333333,1402.5333333333333,249.83333333333334,1402.5333333333333,67.53333333333333,64.3,1.0502576243201243,583.4333333333333,109.0,0.1876372435491106,23.466666666666665,0.0,4.972499166663624,1040.6666666666667,2.0
progress4,0.001,128,L3,0.9933333333333334,1.0,519.7,314.5,205.2,2643.5,314.5,2643.5,135.93333333333334,128.13333333333333,1.060877155386603,1060.3666666666666,277.3,0.2618385965518954,28.6,0.0,8.336183000003908,1040.6666666666667,2.0
progress4,0.001,256,L3,1.0,1.0,749.2,358.46666666666664,390.73333333333335,5019.5,358.46666666666664,5019.5,276.9,256.06666666666666,1.081358929150454,1951.0666666666666,775.1666666666666,0.39732722328771775,31.2,0.0,13.056781533333606,1040.6666666666667,2.0
progress4_router,0.001,32,L3,0.7633333333333333,0.59,274.8,226.13333333333333,48.666666666666664,829.1,184.0,829.1,30.066666666666666,28.366666666666667,1.0607482821085354,318.53333333333336,38.86666666666667,0.12338565180951495,15.866666666666667,4.966666666666667,3.1419383666654235,1040.6666666666667,2.0
progress4_router,0.001,64,L3,0.9133333333333333,0.8,403.2,308.43333333333334,94.76666666666667,1497.1,257.7,1497.1,58.8,55.8,1.0538952986591432,581.2333333333333,90.66666666666667,0.1569427343238216,22.7,6.033333333333333,5.295077966664508,1040.6666666666667,2.0
progress4_router,0.001,128,L3,0.9966666666666666,1.0,573.7666666666667,387.8,185.96666666666667,2759.5,325.23333333333335,2759.5,121.7,114.7,1.0612358026453719,1061.2333333333333,235.46666666666667,0.22203598331821364,28.433333333333334,7.333333333333333,8.730964033335908,1040.6666666666667,2.0
progress4_router,0.001,256,L3,1.0,1.0,807.9,438.03333333333336,369.8666666666667,5156.066666666667,371.53333333333336,5156.066666666667,260.73333333333335,241.23333333333332,1.0809416024401683,1961.1666666666667,708.2333333333333,0.3612120496217971,31.166666666666668,7.8,13.978729800003483,1040.6666666666667,2.0
progress8,0.001,32,L3,0.8166666666666667,0.59,273.23333333333335,217.1,56.13333333333333,1077.4,217.1,1077.4,54.36666666666667,32.46666666666667,1.6749307147101264,437.53333333333336,48.766666666666666,0.11230116828818885,13.633333333333333,0.0,2.9706429333363835,1040.6666666666667,2.0
progress8,0.001,64,L3,0.9366666666666668,0.8,391.3666666666667,284.56666666666666,106.8,2062.266666666667,284.56666666666666,2062.266666666667,107.3,64.2,1.671500097125097,811.5666666666667,131.93333333333334,0.16324104588251567,17.133333333333333,0.0,5.076403999995212,1040.6666666666667,2.0
progress8,0.001,128,L3,1.0,1.0,540.1666666666666,334.96666666666664,205.2,3963.4,334.96666666666664,3963.4,215.03333333333333,128.06666666666666,1.6790859173126615,1527.6,383.2,0.25115281735828987,18.4,0.0,8.388412966668094,1040.6666666666667,2.0
progress8,0.001,256,L3,1.0,1.0,754.1,363.3333333333333,390.76666666666665,7746.7,363.3333333333333,7746.7,441.96666666666664,256.0,1.7264322916666666,2929.9333333333334,1174.8,0.4009371723381547,18.633333333333333,0.0,13.498267566665353,1040.6666666666667,2.0
theory_c,0.001,32,L3,0.81,0.6,290.7,235.16666666666666,55.53333333333333,1185.3333333333333,235.16666666666666,1185.3333333333333,65.13333333333334,32.56666666666667,2.0,456.73333333333335,41.96666666666667,0.09275940121671453,0.0,0.0,2.489596833330173,1040.6666666666667,2.0
theory_c,0.001,64,L3,0.9366666666666668,0.8,406.4,299.73333333333335,106.66666666666667,2338.6666666666665,299.73333333333335,2338.6666666666665,128.46666666666667,64.23333333333333,2.0,886.8333333333334,129.43333333333334,0.14674076397230226,0.0,0.0,4.506730433338173,1040.6666666666667,2.0
theory_c,0.001,128,L3,1.0,1.0,547.8,342.6333333333333,205.16666666666666,4599.266666666666,342.6333333333333,4599.266666666666,256.06666666666666,128.03333333333333,2.0,1739.1,426.56666666666666,0.24552904946209594,0.0,0.0,7.566729600006283,1040.6666666666667,2.0
theory_c,0.001,256,L3,1.0,1.0,755.0666666666667,364.3333333333333,390.73333333333335,8896.466666666667,364.3333333333333,8896.466666666667,512.0,256.0,2.0,3331.0666666666666,1321.1666666666667,0.39662105793221575,0.0,0.0,12.307998400002399,1040.6666666666667,2.0
degree4,0.002,32,L3,0.61,0.3,320.56666666666666,241.06666666666666,79.5,616.4333333333333,241.06666666666666,616.4333333333333,34.333333333333336,34.233333333333334,1.0028454184704185,358.53333333333336,35.1,0.09848235560614696,0.0,0.0,2.2830149000005426,2016.6666666666667,1.0
degree4,0.002,64,L3,0.83,0.6,500.3,349.46666666666664,150.83333333333334,1172.1,349.46666666666664,1172.1,65.13333333333334,64.86666666666666,1.0041115373018359,672.5666666666667,82.36666666666666,0.12315085517632532,0.0,0.0,4.146523633335164,2016.6666666666667,1.0
degree4,0.002,128,L3,0.9666666666666667,0.9,738.0666666666667,455.6333333333333,282.43333333333334,2306.5666666666666,455.6333333333333,2306.5666666666666,128.93333333333334,128.3,1.0049338787020472,1311.4666666666667,242.6,0.18554809683413687,0.0,0.0,7.520093933334238,2016.6666666666667,1.0
degree4,0.002,256,L3,1.0,1.0,1049.8666666666666,521.1666666666666,528.7,4540.166666666667,521.1666666666666,4540.166666666667,257.5,256.1666666666667,1.0052063106719855,2566.4,767.0666666666667,0.29920409058167124,0.0,0.0,12.256508866662822,2016.6666666666667,1.0
degree8,0.002,32,L3,0.64,0.4,342.73333333333335,262.5,80.23333333333333,710.5333333333333,262.5,710.5333333333333,39.96666666666667,34.266666666666666,1.1674365431718374,410.3333333333333,36.56666666666667,0.08933806564564306,0.0,0.0,2.3753027666629123,2016.6666666666667,1.0
degree8,0.002,64,L3,0.8533333333333334,0.69,522.9,370.3333333333333,152.56666666666666,1361.8333333333333,370.3333333333333,1361.8333333333333,76.46666666666667,64.56666666666666,1.1844637818558974,773.9,90.5,0.11708042303715563,0.0,0.0,4.27162753332766,2016.6666666666667,1.0
degree8,0.002,128,L3,0.9733333333333333,0.9,752.0,469.1666666666667,282.8333333333333,2703.5333333333333,469.1666666666667,2703.5333333333333,152.36666666666667,128.23333333333332,1.1882420555058637,1527.3,281.46666666666664,0.18448162533538462,0.0,0.0,7.671793666665394,2016.6666666666667,1.0
degree8,0.002,256,L3,1.0,1.0,1056.0333333333333,527.3666666666667,528.6666666666666,5398.3,527.3666666666667,5398.3,309.23333333333335,256.2,1.2070055877296173,3034.9,922.4333333333333,0.3040869994521467,0.0,0.0,12.522171366667104,2016.6666666666667,1.0
fixed_c1,0.002,32,L3,0.6066666666666667,0.3,320.26666666666665,240.5,79.76666666666667,613.6333333333333,240.5,613.6333333333333,34.1,34.1,1.0,356.6666666666667,35.03333333333333,0.09879387406942643,0.0,0.0,2.462189633332438,2016.6666666666667,1.0
