selectivity,A,B,recall_A,recall_B,recall_delta,dist_A,dist_B,distance_ratio,edge_ratio,avg_copies_A,progress_A,geo_fallbacks_A,router_fallbacks_A
0.001,fixed_c2,fixed_c1,1.0,0.99,0.010000000000000009,547.8,514.6666666666666,1.0643782383419689,2.0097298084626027,2.0,0.2455290494620959,0.0,0.0
0.002,fixed_c2,fixed_c1,0.9733333333333332,0.9666666666666668,0.0066666666666663765,788.4333333333333,737.4333333333333,1.0691587940152782,2.003993204292332,2.0,0.1804230278840363,0.0,0.0
0.003,fixed_c2,fixed_c1,0.9866666666666668,0.9633333333333332,0.02333333333333365,951.6333333333332,890.7666666666667,1.0683306514987088,2.0089446749857034,2.0,0.160429736398332,0.0,0.0
0.005,fixed_c2,fixed_c1,0.99,0.98,0.010000000000000009,1247.9333333333334,1175.5,1.0616191691478805,2.0100045676229206,2.0,0.1396512392254768,0.0,0.0
0.007,fixed_c2,fixed_c1,0.8933333333333333,0.8,0.09333333333333327,1157.8666666666666,872.7,1.3267636835873342,1.9638646357784717,2.0,0.1240683887535101,0.0,0.0
0.01,fixed_c2,fixed_c1,0.8766666666666667,0.8366666666666667,0.040000000000000036,1392.9666666666667,1034.6666666666667,1.3462951030927834,1.972499609923545,2.0,0.1061327186229725,0.0,0.0
0.02,fixed_c2,fixed_c1,0.83,0.7833333333333333,0.046666666666666634,1947.4,1448.3666666666666,1.3445490322432168,1.9716145868005166,2.0,0.0834211513374638,0.0,0.0
0.001,theory_c,fixed_c1,1.0,0.99,0.010000000000000009,547.8,514.6666666666666,1.0643782383419689,2.0097298084626027,2.0,0.2455290494620959,0.0,0.0
0.002,theory_c,fixed_c1,0.9666666666666668,0.9666666666666668,0.0,737.4333333333333,737.4333333333333,1.0,1.0,1.0,0.185420622205714,0.0,0.0
0.003,theory_c,fixed_c1,0.9633333333333332,0.9633333333333332,0.0,890.7666666666667,890.7666666666667,1.0,1.0,1.0,0.1628457076790094,0.0,0.0
0.005,theory_c,fixed_c1,0.98,0.98,0.0,1175.5,1175.5,1.0,1.0,1.0,0.1412911033400191,0.0,0.0
0.007,theory_c,fixed_c1,0.9033333333333334,0.8,0.10333333333333339,1336.3333333333333,872.7,1.5312631297505823,2.9499075903384107,3.0,0.1189904852888845,0.0,0.0
0.01,theory_c,fixed_c1,0.8766666666666667,0.8366666666666667,0.040000000000000036,1392.9666666666667,1034.6666666666667,1.3462951030927834,1.972499609923545,2.0,0.1061327186229725,0.0,0.0
